log_id,table_name,record_id,action,changed_by,changed_at,old_values,new_values
1,loans,83,DELETE,teller_sarah,2023-08-19 04:54:00+00,"{""status"": ""CLOSED"", ""record_id"": 83}",
2,accounts,97,UPDATE,compliance_auditor,2023-06-18 22:06:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""UPDATED"", ""flag"": true}"
3,transactions,5,UPDATE,manager_dave,2023-12-09 08:16:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""UPDATED"", ""flag"": true}"
4,accounts,78,INSERT,teller_michael,2024-02-06 12:22:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""teller_michael"", ""record_id"": 78}"
5,transactions,89,DELETE,compliance_auditor,2023-11-23 01:31:00+00,"{""status"": ""CLOSED"", ""record_id"": 89}",
6,transactions,40,INSERT,teller_michael,2023-08-09 08:08:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""teller_michael"", ""record_id"": 40}"
7,transactions,87,UPDATE,compliance_auditor,2023-11-25 12:04:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""UPDATED"", ""flag"": true}"
8,transactions,94,DELETE,compliance_auditor,2023-07-26 00:51:00+00,"{""status"": ""CLOSED"", ""record_id"": 94}",
9,transactions,33,INSERT,compliance_auditor,2023-09-19 15:00:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""compliance_auditor"", ""record_id"": 33}"
10,loans,42,DELETE,ops_bot,2023-12-15 06:03:00+00,"{""status"": ""CLOSED"", ""record_id"": 42}",
11,transactions,87,INSERT,teller_michael,2023-06-30 09:59:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""teller_michael"", ""record_id"": 87}"
12,customers,53,UPDATE,compliance_auditor,2023-11-19 08:31:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""VERIFIED"", ""flag"": true}"
13,transactions,91,UPDATE,ops_bot,2023-10-23 06:45:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""UPDATED"", ""flag"": true}"
14,loans,92,INSERT,teller_sarah,2023-07-14 09:48:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""teller_sarah"", ""record_id"": 92}"
15,customers,69,DELETE,ops_bot,2023-03-22 09:38:00+00,"{""status"": ""CLOSED"", ""record_id"": 69}",
16,transactions,38,UPDATE,teller_sarah,2023-09-30 03:23:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""UPDATED"", ""flag"": true}"
17,loans,66,UPDATE,teller_sarah,2024-03-06 18:00:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""UPDATED"", ""flag"": true}"
18,customers,36,UPDATE,system_batch,2023-10-31 16:53:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""VERIFIED"", ""flag"": true}"
19,transactions,64,DELETE,teller_michael,2024-01-05 22:52:00+00,"{""status"": ""CLOSED"", ""record_id"": 64}",
20,accounts,26,INSERT,manager_dave,2023-07-04 23:02:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""manager_dave"", ""record_id"": 26}"
21,customers,91,INSERT,manager_dave,2024-01-05 21:38:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""manager_dave"", ""record_id"": 91}"
22,customers,8,UPDATE,manager_dave,2023-10-20 02:19:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""VERIFIED"", ""flag"": true}"
23,loans,63,UPDATE,ops_bot,2024-04-29 23:38:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""UPDATED"", ""flag"": true}"
24,transactions,19,INSERT,ops_bot,2023-12-14 03:56:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""ops_bot"", ""record_id"": 19}"
25,transactions,97,UPDATE,system_batch,2023-01-07 21:21:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""UPDATED"", ""flag"": true}"
26,customers,47,UPDATE,system_batch,2023-09-29 19:55:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""VERIFIED"", ""flag"": true}"
27,customers,86,INSERT,compliance_auditor,2024-01-06 02:38:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""compliance_auditor"", ""record_id"": 86}"
28,accounts,96,UPDATE,teller_sarah,2023-12-19 12:28:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""UPDATED"", ""flag"": true}"
29,customers,2,UPDATE,manager_dave,2023-12-05 01:49:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""VERIFIED"", ""flag"": true}"
30,transactions,50,UPDATE,manager_dave,2024-03-06 03:12:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""UPDATED"", ""flag"": true}"
31,transactions,81,INSERT,ops_bot,2023-05-27 09:40:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""ops_bot"", ""record_id"": 81}"
32,loans,53,UPDATE,compliance_auditor,2023-11-04 13:56:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""UPDATED"", ""flag"": true}"
33,loans,100,DELETE,manager_dave,2024-05-02 12:51:00+00,"{""status"": ""CLOSED"", ""record_id"": 100}",
34,customers,2,UPDATE,teller_michael,2023-12-23 12:05:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""VERIFIED"", ""flag"": true}"
35,accounts,6,UPDATE,teller_sarah,2023-02-09 18:43:00+00,"{""status"": ""ACTIVE"", ""flag"": false}","{""status"": ""UPDATED"", ""flag"": true}"
36,accounts,80,INSERT,ops_bot,2023-05-27 22:11:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""ops_bot"", ""record_id"": 80}"
37,accounts,67,INSERT,compliance_auditor,2024-04-25 08:36:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""compliance_auditor"", ""record_id"": 67}"
38,transactions,64,INSERT,manager_dave,2023-08-28 05:09:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""manager_dave"", ""record_id"": 64}"
39,customers,51,INSERT,teller_michael,2024-04-20 04:46:00+00,,"{""status"": ""ACTIVE"", ""created_by"": ""teller_michael"", ""record_id"": 51}"
