payment_id,loan_id,amount,principal_component,interest_component,paid_at,payment_method
1,24,2508.94,2007.15,501.79,2022-12-16T02:22:43,AUTO_DEDUCT
2,63,2368.62,1894.89,473.72,2022-03-27T09:44:28,AUTO_DEDUCT
3,23,257.44,205.96,51.49,2023-02-25T14:25:21,BRANCH_PAYMENT
4,32,4813.11,3850.49,962.62,2023-05-06T04:23:22,AUTO_DEDUCT
5,76,3203.66,2562.93,640.73,2022-05-10T22:20:43,AUTO_DEDUCT
6,15,4667.93,3734.35,933.59,2023-10-03T01:43:28,AUTO_DEDUCT
7,77,655.45,524.36,131.09,2022-12-06T00:27:19,AUTO_DEDUCT
8,37,645.32,516.25,129.06,2022-11-22T16:02:20,AUTO_DEDUCT
9,64,669.52,535.62,133.90,2022-05-13T14:33:48,AUTO_DEDUCT
10,24,3557.33,2845.86,711.47,2023-03-30T04:16:42,BRANCH_PAYMENT
11,6,193.51,154.81,38.70,2022-01-11T03:29:42,BRANCH_PAYMENT
12,37,2048.85,1639.08,409.77,2023-05-20T10:46:58,AUTO_DEDUCT
13,27,1172.85,938.28,234.57,2023-06-26T02:05:13,BRANCH_PAYMENT
14,8,3199.95,2559.96,639.99,2023-04-04T21:46:50,BRANCH_PAYMENT
15,49,4363.67,3490.93,872.73,2022-06-24T21:07:00,ONLINE_TRANSFER
16,53,2566.90,2053.52,513.38,2022-04-25T04:53:21,ONLINE_TRANSFER
17,25,1869.68,1495.74,373.94,2023-12-26T22:00:57,AUTO_DEDUCT
18,28,3494.32,2795.46,698.86,2022-08-08T09:00:38,BRANCH_PAYMENT
19,69,4418.18,3534.54,883.64,2023-10-09T01:17:05,BRANCH_PAYMENT
20,42,4573.58,3658.86,914.72,2022-08-26T20:09:48,BRANCH_PAYMENT
21,79,1527.19,1221.75,305.44,2022-03-12T13:00:09,ONLINE_TRANSFER
22,62,4595.47,3676.37,919.09,2022-02-14T22:14:03,AUTO_DEDUCT
23,57,4219.10,3375.28,843.82,2022-09-13T22:38:27,AUTO_DEDUCT
24,78,1846.31,1477.04,369.26,2022-08-14T06:18:24,ONLINE_TRANSFER
25,78,2142.39,1713.91,428.48,2022-09-29T04:34:43,ONLINE_TRANSFER
26,37,3509.02,2807.22,701.80,2022-11-22T00:25:34,ONLINE_TRANSFER
27,51,3157.25,2525.80,631.45,2022-09-04T16:40:35,ONLINE_TRANSFER
28,58,1736.08,1388.87,347.22,2023-07-17T08:44:34,BRANCH_PAYMENT
29,64,958.76,767.01,191.75,2023-02-20T06:13:49,BRANCH_PAYMENT
30,56,2243.30,1794.64,448.66,2023-09-27T03:35:59,ONLINE_TRANSFER
31,49,2128.11,1702.49,425.62,2023-06-10T17:15:33,ONLINE_TRANSFER
32,19,4234.97,3387.97,846.99,2022-01-06T18:32:14,BRANCH_PAYMENT
33,64,496.86,397.49,99.37,2022-05-03T01:43:39,ONLINE_TRANSFER
34,1,1296.87,1037.49,259.37,2022-07-23T17:41:40,BRANCH_PAYMENT
35,37,4038.76,3231.01,807.75,2022-07-01T19:40:10,ONLINE_TRANSFER
36,2,1863.60,1490.88,372.72,2022-04-17T13:27:20,AUTO_DEDUCT
37,80,3123.28,2498.62,624.66,2022-09-03T23:45:58,AUTO_DEDUCT
38,55,2089.14,1671.31,417.83,2022-06-10T23:15:39,BRANCH_PAYMENT
39,80,3353.92,2683.13,670.78,2023-02-01T05:49:23,ONLINE_TRANSFER
40,5,694.24,555.39,138.85,2022-03-15T21:36:00,AUTO_DEDUCT
41,62,4629.08,3703.26,925.82,2022-02-13T16:42:12,AUTO_DEDUCT
42,63,129.95,103.96,25.99,2022-02-06T14:17:51,BRANCH_PAYMENT
43,2,3884.15,3107.32,776.83,2023-02-08T03:07:34,AUTO_DEDUCT
44,32,245.00,196.00,49.00,2023-07-16T17:40:16,ONLINE_TRANSFER
45,3,4617.14,3693.71,923.43,2023-08-07T05:25:50,ONLINE_TRANSFER
46,4,401.50,321.20,80.30,2022-02-17T15:49:10,ONLINE_TRANSFER
47,20,4264.20,3411.36,852.84,2022-09-05T19:42:33,BRANCH_PAYMENT
48,69,1466.93,1173.54,293.39,2022-10-31T00:17:58,ONLINE_TRANSFER
49,74,532.46,425.97,106.49,2022-04-11T00:33:57,ONLINE_TRANSFER
50,59,250.69,200.55,50.14,2022-11-20T04:10:42,AUTO_DEDUCT
51,2,967.52,774.02,193.50,2022-12-26T19:38:26,BRANCH_PAYMENT
52,75,623.07,498.45,124.61,2022-02-02T04:38:58,BRANCH_PAYMENT
53,21,1519.47,1215.58,303.89,2022-04-04T23:35:45,AUTO_DEDUCT
54,26,3917.53,3134.02,783.51,2023-02-26T17:11:09,BRANCH_PAYMENT
55,45,3525.98,2820.79,705.20,2023-05-06T11:08:00,ONLINE_TRANSFER
56,80,1034.64,827.71,206.93,2023-04-26T04:44:24,BRANCH_PAYMENT
57,38,4517.71,3614.17,903.54,2022-12-11T23:38:11,BRANCH_PAYMENT
58,44,197.11,157.69,39.42,2023-01-03T07:32:18,ONLINE_TRANSFER
59,21,4578.81,3663.04,915.76,2022-11-22T04:41:55,BRANCH_PAYMENT
60,14,661.46,529.17,132.29,2023-10-01T05:08:10,ONLINE_TRANSFER
61,33,2364.79,1891.84,472.96,2022-11-30T16:02:27,ONLINE_TRANSFER
62,27,3566.65,2853.32,713.33,2023-01-02T03:22:38,BRANCH_PAYMENT
63,54,633.13,506.51,126.63,2022-07-24T23:09:27,AUTO_DEDUCT
64,51,1490.21,1192.17,298.04,2022-03-08T09:14:32,ONLINE_TRANSFER
65,49,4181.73,3345.38,836.35,2022-07-14T04:59:50,ONLINE_TRANSFER
66,9,1688.81,1351.05,337.76,2022-01-01T04:35:50,BRANCH_PAYMENT
67,57,3415.15,2732.12,683.03,2022-12-06T23:48:51,BRANCH_PAYMENT
68,28,567.76,454.21,113.55,2022-04-14T21:58:31,AUTO_DEDUCT
69,21,423.33,338.67,84.67,2023-04-05T02:20:22,AUTO_DEDUCT
70,50,4395.35,3516.28,879.07,2022-09-08T00:56:22,BRANCH_PAYMENT
71,16,4422.69,3538.15,884.54,2023-11-09T01:59:56,AUTO_DEDUCT
72,29,238.31,190.65,47.66,2022-04-13T15:13:14,ONLINE_TRANSFER
73,28,609.24,487.39,121.85,2023-09-01T13:43:24,AUTO_DEDUCT
74,4,1719.79,1375.83,343.96,2022-04-16T05:52:52,ONLINE_TRANSFER
75,31,861.71,689.37,172.34,2022-02-06T11:31:30,AUTO_DEDUCT
76,29,2981.93,2385.55,596.39,2022-06-18T21:20:28,AUTO_DEDUCT
77,30,3638.91,2911.13,727.78,2023-01-15T12:23:41,AUTO_DEDUCT
78,59,3092.03,2473.63,618.41,2022-06-20T10:44:18,BRANCH_PAYMENT
79,40,1221.39,977.11,244.28,2023-07-02T09:36:07,ONLINE_TRANSFER
80,1,4643.86,3715.09,928.77,2022-09-12T04:57:40,ONLINE_TRANSFER
81,15,2431.09,1944.87,486.22,2022-11-23T03:10:48,BRANCH_PAYMENT
82,78,4873.45,3898.76,974.69,2022-11-20T15:49:36,ONLINE_TRANSFER
83,1,3860.79,3088.63,772.16,2023-12-11T03:23:04,BRANCH_PAYMENT
84,34,4882.52,3906.02,976.50,2023-01-18T13:38:01,BRANCH_PAYMENT
85,55,3189.74,2551.79,637.95,2023-08-18T12:14:00,AUTO_DEDUCT
86,1,4598.27,3678.61,919.65,2023-05-17T08:47:38,BRANCH_PAYMENT
87,67,2289.08,1831.26,457.82,2023-11-26T11:31:33,BRANCH_PAYMENT
88,63,1969.42,1575.53,393.88,2022-01-02T23:35:32,BRANCH_PAYMENT
89,78,479.66,383.73,95.93,2023-10-02T16:47:52,ONLINE_TRANSFER
90,44,4116.88,3293.50,823.38,2022-04-10T17:08:34,BRANCH_PAYMENT
91,35,2774.04,2219.23,554.81,2022-12-02T19:36:27,ONLINE_TRANSFER
92,65,168.97,135.17,33.79,2023-12-12T15:27:53,BRANCH_PAYMENT
93,41,1343.80,1075.04,268.76,2023-05-10T22:11:02,BRANCH_PAYMENT
94,3,3392.49,2713.99,678.50,2022-08-22T20:05:32,BRANCH_PAYMENT
95,47,2540.74,2032.59,508.15,2022-10-07T16:04:41,BRANCH_PAYMENT
96,71,1618.81,1295.05,323.76,2023-03-03T16:29:33,AUTO_DEDUCT
97,43,1173.56,938.84,234.71,2022-12-07T23:42:52,ONLINE_TRANSFER
98,4,3271.72,2617.38,654.34,2023-12-26T23:32:29,ONLINE_TRANSFER
99,57,4581.90,3665.52,916.38,2022-10-12T08:52:24,AUTO_DEDUCT
100,66,4009.29,3207.43,801.86,2023-04-01T08:52:34,ONLINE_TRANSFER
101,52,346.99,277.59,69.40,2022-02-12T15:57:52,AUTO_DEDUCT
102,79,4852.98,3882.38,970.60,2022-02-10T23:48:25,BRANCH_PAYMENT
103,28,3168.75,2535.00,633.75,2023-03-26T07:50:28,AUTO_DEDUCT
104,72,421.51,337.21,84.30,2023-08-12T05:16:44,BRANCH_PAYMENT
105,77,2877.85,2302.28,575.57,2022-10-19T01:51:31,AUTO_DEDUCT
106,9,1247.82,998.26,249.56,2023-06-12T01:21:20,AUTO_DEDUCT
107,68,4289.18,3431.34,857.84,2022-05-21T16:09:31,BRANCH_PAYMENT
108,30,585.72,468.58,117.14,2023-09-11T16:56:51,ONLINE_TRANSFER
109,47,215.07,172.06,43.01,2022-02-21T19:44:23,BRANCH_PAYMENT
110,47,2327.70,1862.16,465.54,2023-10-13T18:09:34,BRANCH_PAYMENT
111,18,458.41,366.72,91.68,2022-09-01T17:40:59,AUTO_DEDUCT
112,15,991.61,793.29,198.32,2022-09-16T22:41:19,BRANCH_PAYMENT
113,49,4973.06,3978.45,994.61,2023-09-06T16:34:55,AUTO_DEDUCT
114,21,3078.24,2462.59,615.65,2022-11-24T01:18:42,ONLINE_TRANSFER
115,35,1679.62,1343.70,335.92,2023-08-10T04:19:44,ONLINE_TRANSFER
116,38,4060.79,3248.64,812.16,2022-01-21T11:01:09,ONLINE_TRANSFER
117,79,115.32,92.25,23.06,2022-09-18T13:22:27,AUTO_DEDUCT
118,63,1529.53,1223.62,305.91,2023-09-28T21:25:18,BRANCH_PAYMENT
119,59,3451.30,2761.04,690.26,2023-02-21T01:35:37,AUTO_DEDUCT
120,18,1577.60,1262.08,315.52,2023-12-29T02:22:30,ONLINE_TRANSFER
121,51,3761.89,3009.51,752.38,2023-12-01T21:42:19,BRANCH_PAYMENT
122,44,3548.52,2838.82,709.70,2023-01-17T02:33:58,ONLINE_TRANSFER
123,59,2245.31,1796.25,449.06,2023-08-31T01:35:39,AUTO_DEDUCT
124,37,3159.39,2527.51,631.88,2023-12-08T01:15:49,AUTO_DEDUCT
125,71,1747.55,1398.04,349.51,2022-01-26T14:47:31,BRANCH_PAYMENT
126,32,3544.71,2835.77,708.94,2022-03-17T16:40:56,AUTO_DEDUCT
127,28,1378.91,1103.13,275.78,2023-12-25T08:17:49,ONLINE_TRANSFER
128,25,3678.13,2942.51,735.63,2022-04-08T07:46:59,AUTO_DEDUCT
129,18,1403.87,1123.10,280.77,2022-07-28T01:26:12,AUTO_DEDUCT
130,32,2066.87,1653.50,413.37,2022-08-01T16:51:20,BRANCH_PAYMENT
131,43,747.66,598.13,149.53,2023-01-10T06:49:46,AUTO_DEDUCT
132,36,981.49,785.19,196.30,2022-01-23T16:53:46,ONLINE_TRANSFER
133,47,800.70,640.56,160.14,2023-12-02T13:27:59,BRANCH_PAYMENT
134,74,2600.21,2080.17,520.04,2022-07-23T08:56:35,BRANCH_PAYMENT
135,29,2462.32,1969.85,492.46,2022-04-03T22:22:42,BRANCH_PAYMENT
136,53,3497.83,2798.27,699.57,2023-10-24T16:44:21,BRANCH_PAYMENT
137,80,2975.39,2380.31,595.08,2022-08-17T01:45:42,BRANCH_PAYMENT
138,12,2776.19,2220.96,555.24,2022-01-17T20:27:54,ONLINE_TRANSFER
139,15,4654.51,3723.61,930.90,2023-09-14T12:05:08,AUTO_DEDUCT
140,20,780.98,624.78,156.20,2022-03-08T08:30:36,ONLINE_TRANSFER
141,68,4948.20,3958.56,989.64,2023-02-03T23:03:47,ONLINE_TRANSFER
142,66,1546.29,1237.03,309.26,2023-11-20T13:57:16,AUTO_DEDUCT
143,37,572.83,458.27,114.57,2023-07-01T20:40:06,BRANCH_PAYMENT
144,46,3239.23,2591.38,647.85,2023-11-28T16:02:22,BRANCH_PAYMENT
145,38,2974.60,2379.68,594.92,2023-07-24T14:05:25,ONLINE_TRANSFER
146,19,4813.60,3850.88,962.72,2023-01-07T03:56:33,ONLINE_TRANSFER
147,60,1407.53,1126.02,281.51,2023-06-21T21:14:14,ONLINE_TRANSFER
148,47,4879.13,3903.31,975.83,2023-04-22T04:34:38,AUTO_DEDUCT
149,13,4836.23,3868.99,967.25,2023-07-30T03:39:07,AUTO_DEDUCT
150,22,1321.73,1057.39,264.35,2022-04-17T19:18:43,ONLINE_TRANSFER
151,72,1829.50,1463.60,365.90,2023-12-24T20:45:34,AUTO_DEDUCT
152,36,2667.11,2133.68,533.42,2022-02-27T18:15:22,AUTO_DEDUCT
153,56,1714.07,1371.26,342.81,2022-11-23T18:28:30,BRANCH_PAYMENT
154,76,3019.58,2415.67,603.92,2022-06-27T02:16:27,BRANCH_PAYMENT
155,30,4634.60,3707.68,926.92,2023-05-01T01:16:59,ONLINE_TRANSFER
156,58,2095.80,1676.64,419.16,2022-11-13T12:20:47,BRANCH_PAYMENT
157,34,2332.64,1866.11,466.53,2022-02-09T20:24:14,ONLINE_TRANSFER
158,18,4142.80,3314.24,828.56,2023-04-18T10:05:43,AUTO_DEDUCT
159,6,4317.50,3454.00,863.50,2023-06-05T07:15:41,AUTO_DEDUCT
160,47,3715.72,2972.58,743.14,2023-11-24T02:31:44,BRANCH_PAYMENT
161,1,939.30,751.44,187.86,2022-09-24T08:15:21,ONLINE_TRANSFER
162,55,3667.67,2934.14,733.53,2022-07-29T10:08:44,AUTO_DEDUCT
163,36,4302.14,3441.72,860.43,2023-02-27T23:23:26,AUTO_DEDUCT
164,61,1878.40,1502.72,375.68,2023-01-13T02:53:33,ONLINE_TRANSFER
165,34,3349.36,2679.49,669.87,2023-08-21T01:08:30,AUTO_DEDUCT
166,3,4535.42,3628.34,907.08,2022-01-03T20:58:50,BRANCH_PAYMENT
167,24,3615.00,2892.00,723.00,2023-09-04T21:33:17,BRANCH_PAYMENT
168,62,3027.27,2421.81,605.45,2022-04-21T02:11:17,ONLINE_TRANSFER
169,9,600.20,480.16,120.04,2022-01-16T07:11:51,ONLINE_TRANSFER
170,69,277.40,221.92,55.48,2023-04-06T04:09:22,AUTO_DEDUCT
171,42,3500.14,2800.11,700.03,2022-10-05T15:22:35,BRANCH_PAYMENT
172,21,751.54,601.23,150.31,2022-09-07T01:44:10,ONLINE_TRANSFER
173,63,1797.38,1437.91,359.48,2023-01-06T18:31:36,BRANCH_PAYMENT
174,30,2757.79,2206.24,551.56,2023-12-23T16:17:04,BRANCH_PAYMENT
175,48,1913.16,1530.52,382.63,2022-05-22T22:43:24,ONLINE_TRANSFER
176,45,1412.10,1129.68,282.42,2022-06-29T18:41:00,ONLINE_TRANSFER
177,7,3127.42,2501.94,625.48,2022-11-27T19:44:59,AUTO_DEDUCT
178,37,3360.90,2688.72,672.18,2022-02-06T13:02:41,ONLINE_TRANSFER
179,42,4856.02,3884.82,971.20,2022-09-12T22:37:53,AUTO_DEDUCT
180,79,3074.39,2459.51,614.88,2022-08-18T01:31:41,BRANCH_PAYMENT
