loan_id,loan_number,customer_id,branch_id,loan_type,principal,interest_rate,term_months,monthly_installment,outstanding_balance,status,disbursed_at,next_due_date
1,LN498827,185,11,BUSINESS,17069.50,0.1096,120,157.83,11551.25,ACTIVE,2022-01-12T08:14:50,2024-05-24
2,LN710932,98,14,BUSINESS,718125.53,0.0728,60,12840.30,429123.39,ACTIVE,2021-02-13T18:54:10,2024-06-26
3,LN761939,14,2,MORTGAGE,160953.05,0.0583,24,7097.19,148229.77,ACTIVE,2021-03-03T12:09:04,2024-05-13
4,LN661341,181,1,STUDENT,361948.03,0.0410,12,31398.24,87372.28,ACTIVE,2021-02-14T15:39:08,2024-09-29
5,LN647917,92,20,PERSONAL,27008.78,0.0318,60,464.46,7072.85,ACTIVE,2021-11-20T13:28:55,2024-06-24
6,LN199277,24,2,PERSONAL,692451.01,0.0966,60,12656.11,151628.62,ACTIVE,2020-07-16T16:27:43,2024-10-05
7,LN329123,175,18,STUDENT,653120.50,0.1381,360,2064.85,492316.27,ACTIVE,2022-11-26T21:35:12,2024-04-15
8,LN741304,118,11,STUDENT,88622.48,0.0457,60,1544.55,18988.33,ACTIVE,2020-10-31T10:11:06,2024-06-23
9,LN670062,88,10,BUSINESS,8915.66,0.0621,360,26.30,5520.94,ACTIVE,2021-01-05T16:44:54,2024-09-22
10,LN643093,4,11,MORTGAGE,456415.31,0.1012,120,4188.56,450391.15,ACTIVE,2020-03-06T00:51:21,2024-02-23
11,LN751310,47,10,STUDENT,153623.93,0.0557,120,1351.44,27816.93,ACTIVE,2021-07-25T05:27:55,2024-09-20
12,LN662286,167,11,AUTO,749987.59,0.0606,60,13257.84,439263.20,ACTIVE,2020-09-07T07:18:12,2024-07-08
13,LN855980,118,2,AUTO,555600.31,0.0645,120,4928.69,142779.41,ACTIVE,2020-06-05T03:36:25,2024-02-14
14,LN152367,64,2,STUDENT,78846.89,0.1043,36,2418.53,42607.57,ACTIVE,2022-05-20T12:51:39,2024-01-05
15,LN985659,61,5,PERSONAL,704148.47,0.0612,120,6227.28,450079.58,ACTIVE,2022-01-21T17:25:34,2024-03-07
16,LN345976,15,10,BUSINESS,94284.36,0.0924,24,4291.65,41499.03,ACTIVE,2022-06-07T22:05:47,2024-09-23
17,LN430243,108,8,STUDENT,719377.66,0.1418,12,68450.24,419718.67,ACTIVE,2022-02-06T17:36:25,2024-12-19
18,LN419996,168,20,STUDENT,259584.61,0.0845,120,2345.98,125175.64,ACTIVE,2021-08-12T04:49:58,2024-08-15
19,LN823152,124,1,AUTO,660252.14,0.0652,360,1953.56,77416.96,ACTIVE,2020-09-23T06:32:38,2024-05-20
20,LN693969,59,7,AUTO,123018.29,0.1238,120,1152.11,20490.03,ACTIVE,2020-10-08T08:22:26,2024-11-23
21,LN115441,183,12,PERSONAL,228623.33,0.0849,120,2067.00,149912.52,ACTIVE,2020-02-16T02:17:49,2024-07-14
22,LN542973,127,9,AUTO,233435.44,0.0924,36,7083.43,152571.88,ACTIVE,2021-05-24T04:10:11,2024-06-20
23,LN888008,139,2,MORTGAGE,380525.66,0.0656,36,11263.06,111637.45,ACTIVE,2021-05-17T00:35:41,2024-08-12
24,LN827301,60,7,MORTGAGE,277485.52,0.0919,360,841.63,32167.49,ACTIVE,2021-03-09T07:39:24,2024-11-12
25,LN325257,189,12,BUSINESS,733552.02,0.0753,36,21910.48,503186.63,ACTIVE,2022-01-25T02:38:08,2024-02-02
26,LN867311,99,7,STUDENT,71236.70,0.1160,120,662.52,6238.31,ACTIVE,2021-10-17T03:20:28,2024-12-24
27,LN622931,134,8,MORTGAGE,447330.53,0.0400,12,38767.88,57854.91,ACTIVE,2020-04-22T16:45:41,2024-06-22
28,LN915883,25,3,BUSINESS,294621.33,0.0766,24,13216.80,88358.37,ACTIVE,2022-01-01T06:34:35,2024-09-09
29,LN869427,129,11,STUDENT,350614.97,0.0531,36,10256.61,286802.31,ACTIVE,2022-06-18T10:41:21,2024-03-27
30,LN289261,71,4,STUDENT,66836.51,0.0412,24,2899.51,61449.20,ACTIVE,2022-11-04T06:10:23,2024-07-04
31,LN686721,129,12,MORTGAGE,100551.91,0.0686,360,298.47,60117.01,ACTIVE,2020-10-24T05:08:13,2024-01-02
32,LN141776,158,9,PERSONAL,111471.71,0.1042,36,3419.01,49621.95,ACTIVE,2020-10-01T00:31:06,2024-10-03
33,LN811776,2,2,PERSONAL,221095.57,0.0509,60,3872.66,151605.70,ACTIVE,2022-10-06T05:29:37,2024-04-06
34,LN791919,95,20,STUDENT,551790.54,0.0957,24,25191.47,267084.51,ACTIVE,2021-09-26T02:21:17,2024-12-04
35,LN891554,161,2,STUDENT,355959.66,0.1208,120,3324.77,293011.76,ACTIVE,2022-02-13T02:18:08,2024-10-23
36,LN952628,49,5,MORTGAGE,266929.82,0.1097,36,8227.81,80568.99,ACTIVE,2020-10-09T14:58:48,2024-11-17
37,LN419679,188,9,MORTGAGE,555469.04,0.0531,60,9749.73,308532.29,ACTIVE,2021-01-06T11:31:31,2024-04-18
38,LN763642,149,3,PERSONAL,444932.80,0.0418,24,19313.69,325500.39,ACTIVE,2022-12-20T01:01:05,2024-11-02
39,LN172916,68,2,PERSONAL,699207.73,0.0370,36,20141.86,463958.76,ACTIVE,2022-08-04T16:56:43,2024-12-17
40,LN114046,95,2,STUDENT,572107.21,0.1412,36,18135.26,117885.57,ACTIVE,2020-04-27T05:29:01,2024-12-25
41,LN801295,23,4,MORTGAGE,434427.06,0.0589,12,38335.29,124389.08,ACTIVE,2021-03-09T02:35:21,2024-09-17
42,LN775805,68,13,STUDENT,393045.78,0.1053,12,36201.44,176635.03,ACTIVE,2022-12-09T08:22:55,2024-06-17
43,LN550471,91,8,AUTO,484166.61,0.0842,12,43746.41,45639.11,ACTIVE,2021-03-05T14:53:59,2024-07-18
44,LN318601,191,18,BUSINESS,409471.76,0.1201,24,19109.76,108602.59,ACTIVE,2020-01-11T05:31:02,2024-07-09
45,LN142250,117,2,AUTO,721439.12,0.0999,12,66125.02,463159.69,ACTIVE,2020-08-13T11:53:32,2024-03-11
46,LN658493,13,19,BUSINESS,642734.96,0.1293,12,60488.95,599154.63,ACTIVE,2020-05-03T05:52:58,2024-07-17
47,LN138130,41,1,BUSINESS,73997.27,0.0364,12,6390.85,2558.67,ACTIVE,2020-12-30T20:34:30,2024-09-14
48,LN285740,195,17,STUDENT,63840.39,0.0327,120,549.40,55440.42,ACTIVE,2022-03-05T11:49:32,2024-09-14
49,LN135970,176,16,MORTGAGE,639987.77,0.1182,36,19877.89,412332.15,ACTIVE,2022-09-06T06:31:18,2024-07-28
50,LN146595,27,15,PERSONAL,175470.92,0.0597,12,15495.22,173409.86,ACTIVE,2022-04-24T17:06:55,2024-10-20
51,LN973528,45,9,STUDENT,591480.82,0.0644,12,52465.98,318328.42,ACTIVE,2020-08-05T04:28:43,2024-11-04
52,LN279495,54,11,AUTO,204207.91,0.0499,60,3573.43,28833.33,ACTIVE,2021-11-21T23:46:33,2024-08-11
53,LN421336,91,3,STUDENT,633001.30,0.0696,60,11284.35,239189.58,ACTIVE,2022-12-13T23:17:16,2024-10-27
54,LN864338,23,13,PERSONAL,11193.29,0.0606,60,197.86,3829.29,ACTIVE,2020-08-15T08:17:39,2024-02-26
55,LN741379,187,16,BUSINESS,453987.02,0.1496,360,1449.70,156119.24,ACTIVE,2022-05-13T21:32:44,2024-09-03
56,LN664031,177,6,AUTO,512572.38,0.0875,12,46453.30,129298.75,ACTIVE,2021-12-12T08:18:37,2024-05-19
57,LN453531,122,13,BUSINESS,210366.60,0.1124,24,9750.69,195791.23,ACTIVE,2021-10-01T15:57:04,2024-03-07
58,LN617485,164,19,PERSONAL,170311.62,0.0533,60,2989.94,137670.62,ACTIVE,2022-02-25T16:16:36,2024-06-01
59,LN264094,187,18,PERSONAL,366975.87,0.0663,24,16305.06,173643.50,ACTIVE,2021-02-21T20:27:34,2024-05-15
60,LN866519,119,17,MORTGAGE,430743.82,0.0394,36,12437.00,91981.94,ACTIVE,2021-11-09T21:18:28,2024-04-30
61,LN546388,153,15,MORTGAGE,740903.41,0.0524,360,2165.85,454939.12,ACTIVE,2022-04-08T02:55:03,2024-05-14
62,LN819382,48,10,STUDENT,309355.15,0.1186,24,14419.15,90997.34,ACTIVE,2021-04-18T10:52:57,2024-08-03
63,LN959604,97,20,MORTGAGE,299395.44,0.1109,60,5543.39,37703.97,ACTIVE,2021-10-21T14:22:32,2024-10-18
64,LN193384,145,10,BUSINESS,749613.85,0.0934,60,13659.99,159192.66,ACTIVE,2020-12-13T05:41:45,2024-08-10
65,LN379798,149,19,AUTO,207451.43,0.0789,120,1865.13,83916.45,ACTIVE,2021-03-15T13:14:08,2024-12-18
66,LN949589,170,20,PERSONAL,378962.73,0.1156,12,35230.24,71118.94,ACTIVE,2022-08-03T06:04:22,2024-04-09
