txn_id,account_id,teller_id,txn_type,amount,balance_after,reference_number,merchant_name,category,is_reversal,original_txn_id,description,txn_time
1,236,,INTEREST,1933.34,248643.40,2f9ed8f8bd7c40839c3b23d36638276f,Local Utilities,GROCERIES,false,,INTEREST transaction,2023-11-02T11:40:42
2,165,,TRANSFER_IN,3394.47,391383.59,3a9320a02012494298d7560c4ac5e581,Starbucks,ONLINE_SHOPPING,false,,TRANSFER_IN transaction,2022-11-04T20:53:14
3,159,,DEPOSIT,3899.89,77448.18,1a766e42053a4517b5d04c0aae1cc7b2,Amazon,UTILITIES,false,,DEPOSIT transaction,2022-10-09T22:05:38
4,160,,TRANSFER_OUT,1785.71,427199.31,1b70879faf764386808bbd6a7385dbc2,Amazon,GROCERIES,false,,TRANSFER_OUT transaction,2023-05-28T00:07:08
5,5,,DEPOSIT,745.51,309350.81,a9cbf283e6b4430e99aaef4589c867a8,Starbucks,ONLINE_SHOPPING,false,,DEPOSIT transaction,2023-02-22T03:28:42
6,162,,DEPOSIT,4817.44,176093.87,89507d42a62c46379719e6ffb15c53bc,Amazon,ATM,false,,DEPOSIT transaction,2023-06-26T01:14:27
7,73,,FEE,4352.49,16017.06,8bcaebd9573a45e9936e3f08c28759c4,Starbucks,RESTAURANT,false,,FEE transaction,2023-08-11T14:19:22
8,92,,DEPOSIT,3789.81,350317.26,f06c55a4d56f42ff82619628b79c728e,Local Utilities,ATM,false,,DEPOSIT transaction,2023-06-03T23:01:40
9,67,,TRANSFER_IN,886.66,378154.16,1dff266438dd4068b4eb1f88c8dc8d74,,ATM,false,,TRANSFER_IN transaction,2022-03-21T17:33:37
10,181,,DEPOSIT,24.69,308926.15,bcf55dc225e84d778c6715a60ef8f1d2,Starbucks,SALARY,false,,DEPOSIT transaction,2023-09-15T18:22:16
11,88,,WITHDRAWAL,3902.78,205275.99,2ecad1d7706d4c9898d6a669e303a9d3,Starbucks,ONLINE_SHOPPING,false,,WITHDRAWAL transaction,2023-01-27T06:31:11
12,240,,INTEREST,187.38,225087.86,a1efc069a2cf4030aafd89d44775ea11,Local Utilities,RESTAURANT,false,,INTEREST transaction,2023-06-11T17:10:10
13,139,,FEE,3180.04,107972.81,5bc069f18a5147d69bbf688ce04afb23,Target,RESTAURANT,false,,FEE transaction,2022-09-25T09:03:36
14,61,,FEE,489.86,399453.43,dea51953292d4734a0cc8ec3504f0f5e,,ATM,false,,FEE transaction,2022-04-30T02:47:37
15,67,,TRANSFER_OUT,1662.37,181578.75,c2be6ba7179149e5be9b8c442f76f554,Starbucks,RESTAURANT,false,,TRANSFER_OUT transaction,2023-12-16T08:13:23
16,130,,TRANSFER_IN,3209.14,299549.88,dcde08c6a30540bab69368f5d0872cfb,Starbucks,RESTAURANT,false,,TRANSFER_IN transaction,2023-01-05T06:28:52
17,248,,TRANSFER_IN,1996.27,35666.81,2da539690ff34afd87e47046fea2fa6f,Target,RESTAURANT,false,,TRANSFER_IN transaction,2023-04-25T21:17:13
18,160,,TRANSFER_IN,1973.70,399038.90,f531117c92c845f495aa209480ba16df,Amazon,RESTAURANT,false,,TRANSFER_IN transaction,2022-10-29T02:11:13
19,168,,TRANSFER_IN,564.66,367328.14,0a5088b2b4b04714b7afd422e7b1fccb,Walmart,UTILITIES,false,,TRANSFER_IN transaction,2022-09-06T06:37:54
20,33,,TRANSFER_OUT,2819.33,339714.55,03737cf584974171af7801399745bcaa,,ATM,false,,TRANSFER_OUT transaction,2023-05-27T19:55:12
21,157,,WITHDRAWAL,2059.34,81774.06,bb84e7f3947545c88ef457f7a049671b,Target,RESTAURANT,false,,WITHDRAWAL transaction,2022-09-06T11:18:34
22,42,,TRANSFER_OUT,4606.34,479661.42,808720a63d194629bcbb0b72e78a5336,Target,RESTAURANT,false,,TRANSFER_OUT transaction,2022-02-17T15:05:22
23,144,,FEE,2381.97,408823.97,595bf65306644a61b00ef066b432a102,Local Utilities,SALARY,false,,FEE transaction,2022-02-22T16:41:37
24,74,,TRANSFER_IN,2007.96,362247.01,14b75b8af7e448c6908681b363d2b90b,Amazon,ATM,false,,TRANSFER_IN transaction,2022-12-06T22:05:45
25,121,,FEE,4921.75,290087.82,fc7245592c5b4b42ad7d706f73e1547a,Target,ONLINE_SHOPPING,false,,FEE transaction,2022-01-31T21:33:19
26,145,,INTEREST,795.06,185915.08,123b78a1ff4d4287af985dd9c0c6315a,Local Utilities,RESTAURANT,false,,INTEREST transaction,2023-05-04T16:59:10
27,14,,FEE,4466.22,390100.93,0379bddeb7514f89a3dd05be2561beda,Amazon,UTILITIES,false,,FEE transaction,2023-02-25T02:56:09
28,120,,WITHDRAWAL,4182.99,426979.26,ae0d8015044d45239fa91335973b1f09,Starbucks,GROCERIES,false,,WITHDRAWAL transaction,2022-06-28T09:37:56
29,179,,WITHDRAWAL,1702.95,49336.06,28777a6829404f2e975d7603a7064141,Starbucks,RESTAURANT,false,,WITHDRAWAL transaction,2023-01-10T12:55:57
30,53,,TRANSFER_OUT,3431.96,189507.33,39f92b2d409646e88da26433809b016c,Target,ONLINE_SHOPPING,false,,TRANSFER_OUT transaction,2023-11-13T02:33:07
31,121,,INTEREST,761.80,350365.56,db900c04b9b44e27bb95fcda458853dc,Target,ONLINE_SHOPPING,false,,INTEREST transaction,2023-12-19T03:10:07
