brand_id,name,slug,country_of_origin,website_url,is_active
1,Brand 1,brand-1,Japan,https://www.brand1.com,TRUE
2,Brand 2,brand-2,Japan,https://www.brand2.com,TRUE
3,Brand 3,brand-3,China,https://www.brand3.com,TRUE
4,Brand 4,brand-4,China,https://www.brand4.com,TRUE
5,Brand 5,brand-5,China,https://www.brand5.com,TRUE
6,Brand 6,brand-6,Germany,https://www.brand6.com,TRUE
7,Brand 7,brand-7,USA,https://www.brand7.com,TRUE
8,Brand 8,brand-8,Germany,https://www.brand8.com,TRUE
9,Brand 9,brand-9,India,https://www.brand9.com,TRUE
10,Brand 10,brand-10,China,https://www.brand10.com,TRUE
11,Brand 11,brand-11,Germany,https://www.brand11.com,TRUE
12,Brand 12,brand-12,UK,https://www.brand12.com,TRUE
13,Brand 13,brand-13,USA,https://www.brand13.com,TRUE
14,Brand 14,brand-14,UK,https://www.brand14.com,TRUE
15,Brand 15,brand-15,UK,https://www.brand15.com,TRUE
16,Brand 16,brand-16,Germany,https://www.brand16.com,TRUE
17,Brand 17,brand-17,Germany,https://www.brand17.com,TRUE
18,Brand 18,brand-18,UK,https://www.brand18.com,TRUE
19,Brand 19,brand-19,China,https://www.brand19.com,TRUE
20,Brand 20,brand-20,Japan,https://www.brand20.com,TRUE
21,Brand 21,brand-21,Japan,https://www.brand21.com,TRUE
22,Brand 22,brand-22,USA,https://www.brand22.com,TRUE
23,Brand 23,brand-23,USA,https://www.brand23.com,TRUE
24,Brand 24,brand-24,India,https://www.brand24.com,TRUE
25,Brand 25,brand-25,UK,https://www.brand25.com,TRUE
26,Brand 26,brand-26,USA,https://www.brand26.com,TRUE
27,Brand 27,brand-27,China,https://www.brand27.com,TRUE
28,Brand 28,brand-28,Germany,https://www.brand28.com,TRUE
29,Brand 29,brand-29,UK,https://www.brand29.com,TRUE
30,Brand 30,brand-30,Germany,https://www.brand30.com,TRUE
