coupon_id,code,discount_type,discount_value,min_order_amount,max_uses,times_used,valid_from,valid_until,is_active
1,SAVE10,fixed,69,50.00,100,37,2024-09-15T21:02:46.818336,2027-09-15T21:02:46.818336,TRUE
2,SAVE20,percent,33,100.00,100,9,2024-09-15T21:02:46.818336,2027-09-15T21:02:46.818336,TRUE
3,SAVE30,percent,8,100.00,,22,2024-09-15T21:02:46.818336,2027-09-15T21:02:46.818336,TRUE
4,SAVE40,fixed,20,100.00,100,15,2024-09-15T21:02:46.818336,2027-09-15T21:02:46.818336,TRUE
5,SAVE50,percent,49,50.00,,22,2024-09-15T21:02:46.818336,2027-09-15T21:02:46.818336,TRUE
6,SAVE60,fixed,39,,,42,2024-09-15T21:02:46.818336,2027-09-15T21:02:46.818336,TRUE
7,SAVE70,fixed,18,50.00,500,14,2024-09-15T21:02:46.818336,2027-09-15T21:02:46.818336,TRUE
8,SAVE80,fixed,76,100.00,,8,2024-09-15T21:02:46.818336,2027-09-15T21:02:46.818336,TRUE
9,SAVE90,percent,26,50.00,,24,2024-09-15T21:02:46.818336,2027-09-15T21:02:46.818336,TRUE
10,SAVE100,fixed,45,,500,44,2024-09-15T21:02:46.818336,2027-09-15T21:02:46.818336,TRUE
11,SAVE110,fixed,25,50.00,500,46,2024-09-15T21:02:46.818336,2027-09-15T21:02:46.818336,TRUE
12,SAVE120,fixed,60,100.00,100,15,2024-09-15T21:02:46.818336,2027-09-15T21:02:46.818336,TRUE
13,SAVE130,fixed,67,50.00,500,33,2024-09-15T21:02:46.818336,2027-09-15T21:02:46.818336,TRUE
14,SAVE140,fixed,80,100.00,,34,2024-09-15T21:02:46.818336,2027-09-15T21:02:46.818336,TRUE
15,SAVE150,fixed,95,50.00,500,22,2024-09-15T21:02:46.818336,2027-09-15T21:02:46.818336,TRUE
16,SAVE160,percent,37,,500,41,2024-09-15T21:02:46.818336,2027-09-15T21:02:46.818336,TRUE
17,SAVE170,percent,7,,100,25,2024-09-15T21:02:46.818336,2027-09-15T21:02:46.818336,TRUE
18,SAVE180,fixed,22,,100,10,2024-09-15T21:02:46.818336,2027-09-15T21:02:46.818336,TRUE
19,SAVE190,percent,35,,,20,2024-09-15T21:02:46.818336,2027-09-15T21:02:46.818336,TRUE
20,SAVE200,fixed,73,50.00,100,33,2024-09-15T21:02:46.818336,2027-09-15T21:02:46.818336,TRUE
