item_id,order_id,product_id,quantity,unit_price,total_price
1,272,11,4,10.82,43.28
2,49,10,3,105.27,315.81
3,18,150,2,188.13,376.26
4,221,72,3,78.47,235.41
5,232,53,3,119.99,359.97
6,196,136,2,103.81,207.62
7,278,37,4,39.99,159.96
8,298,92,2,115.15,230.3
9,280,92,2,165.49,330.98
10,66,120,1,58.13,58.13
11,6,77,2,176.84,353.68
12,75,127,5,30.18,150.9
13,286,24,5,17.4,87.0
14,226,124,1,120.95,120.95
15,20,88,5,174.5,872.5
16,147,125,2,59.01,118.02
17,177,11,1,27.49,27.49
18,252,147,5,72.15,360.75
19,226,23,1,189.79,189.79
20,177,137,4,172.37,689.48
21,39,58,3,16.35,49.05
22,56,64,3,179.6,538.8
23,214,2,5,98.23,491.15
24,35,119,1,13.49,13.49
25,195,121,2,177.38,354.76
26,237,73,3,183.96,551.88
27,104,11,2,96.01,192.02
28,15,29,2,188.13,376.26
29,103,8,3,168.75,506.25
30,236,88,5,72.31,361.55
31,139,114,1,114.59,114.59
32,132,2,4,113.25,453.0
33,252,6,4,68.68,274.72
34,160,59,3,11.18,33.54
35,79,106,1,116.0,116.0
36,253,14,4,23.14,92.56
37,231,147,2,133.38,266.76
38,239,98,3,84.65,253.95
39,144,148,1,188.75,188.75
40,172,43,5,67.02,335.1
41,51,71,3,180.42,541.26
42,235,121,5,88.0,440.0
43,39,29,4,25.17,100.68
44,169,109,3,193.77,581.31
45,217,113,4,23.04,92.16
46,45,110,3,121.05,363.15
47,28,19,3,50.79,152.37
48,163,32,2,88.53,177.06
49,276,137,3,187.75,563.25
50,269,137,3,192.86,578.58
51,84,29,1,75.51,75.51
52,188,76,1,101.77,101.77
53,143,121,4,178.01,712.04
54,6,83,1,69.59,69.59
55,115,63,2,94.98,189.96
56,94,53,2,94.83,189.66
57,39,15,2,26.93,53.86
58,298,46,4,160.75,643.0
59,256,65,4,122.98,491.92
60,279,62,3,77.32,231.96
61,16,120,4,133.01,532.04
62,220,58,4,142.76,571.04
63,291,96,1,166.23,166.23
64,23,7,5,164.17,820.85
65,113,97,2,40.9,81.8
66,266,119,1,176.38,176.38
67,39,92,2,92.69,185.38
68,92,16,5,84.4,422.0
69,32,70,3,45.48,136.44
70,189,10,1,93.82,93.82
71,155,126,4,108.59,434.36
72,130,126,3,92.9,278.7
73,69,142,5,125.15,625.75
74,200,72,4,172.25,689.0
75,279,128,4,53.15,212.6
76,247,4,3,110.24,330.72
77,124,106,3,114.62,343.86
78,135,70,4,85.09,340.36
79,185,64,5,107.79,538.95
80,116,72,4,73.89,295.56
81,263,60,3,170.19,510.57
82,9,112,3,15.87,47.61
83,17,148,2,99.97,199.94
84,110,34,3,180.61,541.83
85,29,59,2,85.17,170.34
86,282,104,2,46.9,93.8
87,297,113,1,91.55,91.55
88,229,12,2,120.88,241.76
89,195,68,2,198.0,396.0
90,86,149,2,191.74,383.48
91,173,94,3,192.35,577.05
92,263,56,5,42.53,212.65
93,153,60,2,40.03,80.06
94,117,74,1,66.78,66.78
95,289,33,3,95.49,286.47
96,286,97,4,33.86,135.44
97,193,4,3,78.03,234.09
98,263,71,3,56.35,169.05
99,99,59,3,136.14,408.42
100,110,132,3,146.11,438.33
101,64,97,2,44.47,88.94
102,129,89,3,111.44,334.32
103,63,86,2,88.78,177.56
104,250,29,1,115.6,115.6
105,88,3,1,159.47,159.47
106,196,22,4,116.06,464.24
107,150,3,4,173.13,692.52
108,58,145,5,197.59,987.95
109,122,17,4,100.66,402.64
110,81,68,2,40.86,81.72
111,177,118,1,148.02,148.02
112,14,75,5,30.65,153.25
113,36,132,1,13.86,13.86
114,222,100,4,13.38,53.52
115,127,62,4,57.72,230.88
116,10,87,3,55.55,166.65
117,217,17,5,120.17,600.85
118,208,84,4,79.19,316.76
119,7,101,1,156.25,156.25
120,85,68,2,167.18,334.36
121,121,148,4,94.84,379.36
122,131,52,1,131.03,131.03
123,182,117,5,143.3,716.5
124,188,95,4,144.34,577.36
125,10,73,1,96.6,96.6
126,124,9,4,161.36,645.44
127,205,41,2,176.52,353.04
128,127,47,4,26.61,106.44
129,58,118,5,125.15,625.75
130,238,140,3,83.44,250.32
131,119,46,5,65.52,327.6
132,289,124,5,114.76,573.8
133,228,94,5,125.0,625.0
134,242,71,2,73.84,147.68
135,291,31,4,102.2,408.8
136,169,23,2,75.14,150.28
137,176,18,1,64.81,64.81
138,194,9,2,13.95,27.9
139,113,14,5,121.61,608.05
140,283,35,2,117.91,235.82
141,174,119,4,132.23,528.92
142,5,55,2,171.59,343.18
143,276,48,3,176.54,529.62
144,285,86,2,124.73,249.46
145,295,20,1,120.19,120.19
146,140,20,2,50.6,101.2
147,19,142,1,128.32,128.32
148,41,2,4,84.46,337.84
149,170,29,1,19.2,19.2
150,204,45,4,48.49,193.96
151,278,105,3,91.33,273.99
152,206,57,4,70.57,282.28
153,214,129,4,90.87,363.48
154,130,103,3,119.74,359.22
155,296,72,2,34.59,69.18
156,115,112,4,181.39,725.56
157,227,4,3,87.27,261.81
158,228,117,5,66.02,330.1
159,184,62,3,98.32,294.96
160,257,110,3,57.57,172.71
161,213,42,3,129.16,387.48
162,147,56,2,87.32,174.64
163,188,139,4,31.91,127.64
164,106,67,3,74.55,223.65
165,108,39,1,33.86,33.86
166,236,87,1,42.72,42.72
167,31,101,5,10.47,52.35
168,80,54,2,158.77,317.54
169,36,78,1,188.19,188.19
170,140,29,1,121.13,121.13
171,99,74,2,10.71,21.42
172,13,62,1,161.79,161.79
173,299,102,4,92.41,369.64
174,72,22,5,71.32,356.6
175,195,80,3,184.07,552.21
176,38,74,3,111.87,335.61
177,278,145,4,181.41,725.64
178,69,16,2,82.84,165.68
179,252,81,5,122.8,614.0
180,45,118,3,84.01,252.03
181,185,68,1,189.24,189.24
182,30,133,5,40.58,202.9
183,157,38,2,53.89,107.78
184,257,55,4,189.72,758.88
185,73,40,2,26.55,53.1
186,31,36,4,84.06,336.24
187,244,117,2,154.98,309.96
188,4,87,4,191.63,766.52
189,160,137,1,32.39,32.39
190,31,149,2,189.97,379.94
191,204,39,1,156.69,156.69
192,89,77,5,175.3,876.5
193,261,35,5,157.82,789.1
194,101,64,1,191.05,191.05
195,55,70,2,71.21,142.42
196,201,13,2,49.96,99.92
197,229,70,2,153.62,307.24
198,22,46,5,15.43,77.15
199,287,85,4,132.88,531.52
200,38,114,4,143.85,575.4
201,140,150,2,151.29,302.58
202,229,51,4,94.71,378.84
203,6,118,4,146.48,585.92
204,72,121,1,69.62,69.62
205,273,26,2,179.95,359.9
206,71,103,5,51.81,259.05
207,59,113,5,28.1,140.5
208,19,48,2,188.32,376.64
209,254,61,3,58.44,175.32
210,75,75,5,23.98,119.9
211,186,54,2,131.82,263.64
212,179,121,3,111.09,333.27
213,51,14,2,122.52,245.04
214,165,123,4,28.44,113.76
215,140,99,3,108.65,325.95
216,213,58,1,93.74,93.74
217,87,105,4,149.53,598.12
218,142,6,3,20.8,62.4
219,68,18,2,13.59,27.18
220,59,106,1,143.71,143.71
221,209,4,4,113.29,453.16
222,223,77,5,104.7,523.5
223,89,43,1,26.28,26.28
224,122,14,5,155.17,775.85
225,7,139,5,10.02,50.1
226,216,79,4,70.08,280.32
227,56,68,1,166.72,166.72
228,277,81,5,145.09,725.45
229,6,11,5,26.61,133.05
230,288,121,1,180.59,180.59
231,47,11,1,167.26,167.26
232,191,87,2,112.16,224.32
233,83,112,2,140.21,280.42
