order_id,customer_id,shipping_address_id,coupon_id,status,subtotal,discount_amount,shipping_cost,tax_amount,total_amount,shipping_method,tracking_number,placed_at,delivered_at
1,46,1,,CANCELLED,296.97,17.69,6.94,58.24,344.46,Express,,2025-02-02T02:53:36.818336,
2,100,241,,REFUNDED,176.67,42.02,6.48,58.69,199.82,Next Day,,2025-04-29T15:12:41.818336,
3,32,209,,DELIVERED,325.54,32.01,17.08,95.69,406.3,Express,TRK1273B50D07,2025-12-07T02:57:46.818336,2025-12-18T15:04:02.818336
4,43,101,,PROCESSING,853.98,29.68,1.23,44.69,870.22,Standard,,2025-09-28T21:56:54.818336,
5,90,210,1,REFUNDED,338.26,48.77,24.11,28.43,342.03,Express,,2025-12-27T12:13:34.818336,
6,182,237,3,CANCELLED,782.59,19.23,6.81,36.22,806.39,Express,,2025-11-27T21:20:41.818336,
7,168,63,,PROCESSING,198.67,22.14,9.23,79.64,265.4,Standard,,2025-01-20T15:37:00.818336,
8,156,13,11,CANCELLED,680.4,46.07,6.55,70.68,711.56,Express,,2025-05-19T02:01:18.818336,
9,53,132,,REFUNDED,75.42,6.27,0.36,22.94,92.45,Next Day,,2025-08-03T18:50:46.818336,
10,173,49,,PROCESSING,420.51,38.2,10.06,70.98,463.35,Next Day,,2025-02-20T02:06:13.818336,
11,154,47,,SHIPPED,56.05,27.04,2.43,94.02,125.46,Next Day,TRK21537B0164,2026-01-07T22:52:32.818336,
12,70,174,,DELIVERED,547.08,6.84,4.8,12.22,557.26,Next Day,TRK020C2A1D04,2026-05-07T00:54:51.818336,2026-07-13T14:42:44.818336
13,55,224,,CANCELLED,51.41,22.37,10.03,15.13,54.2,Express,,2025-07-22T18:17:50.818336,
14,119,17,9,CANCELLED,974.12,19.5,24.85,12.42,991.89,Standard,,2025-07-03T01:33:54.818336,
15,174,3,11,REFUNDED,379.16,30.4,2.27,39.5,390.53,Next Day,,2024-10-11T00:47:57.818336,
16,11,72,,CONFIRMED,352.22,10.53,19.58,2.67,363.94,Next Day,,2025-05-26T18:23:39.818336,
17,26,149,,CANCELLED,481.23,39.55,22.49,90.53,554.7,Express,,2025-11-03T13:15:39.818336,
18,6,100,,PENDING,215.69,8.23,11.3,25.87,244.63,Standard,,2025-02-20T22:54:32.818336,
19,164,115,3,REFUNDED,697.8,28.03,5.16,93.87,768.8,Express,,2025-09-25T14:15:09.818336,
20,89,38,,CANCELLED,763.36,45.26,24.01,98.18,840.29,Next Day,,2026-04-13T22:46:53.818336,
21,103,4,6,DELIVERED,190.62,20.39,19.72,39.2,229.15,Standard,TRKADC485B74B,2024-09-27T08:42:48.818336,2024-12-17T11:28:05.818336
22,179,76,,DELIVERED,884.71,2.63,20.08,14.48,916.64,Next Day,TRKDAD6429BDB,2025-08-23T17:22:21.818336,2026-07-08T19:56:45.818336
23,5,82,,SHIPPED,967.21,26.4,7.24,76.81,1024.86,Express,TRKE3657A49B3,2024-11-09T21:49:34.818336,
24,175,142,,PENDING,973.51,17.6,4.26,53.29,1013.46,Next Day,,2024-11-19T16:26:48.818336,
25,67,133,,SHIPPED,468.16,11.07,11.36,13.29,481.74,Next Day,TRKD8A772BA58,2025-08-13T21:54:06.818336,
26,73,39,18,PENDING,151.18,9.83,17.52,76.54,235.41,Standard,,2024-11-13T07:54:42.818336,
27,99,137,15,DELIVERED,77.43,39.16,13.45,96.27,147.99,Standard,TRKBD77F2C006,2024-11-06T13:52:40.818336,2026-01-23T19:24:52.818336
28,116,228,,CONFIRMED,320.38,11.66,7.8,17.97,334.49,Standard,,2026-09-04T03:01:17.818336,
29,3,169,,PENDING,47.11,47.51,18.09,91.25,108.94,Next Day,,2025-11-23T19:17:13.818336,
30,183,163,,CANCELLED,513.47,15.66,4.26,24.11,526.18,Standard,,2026-06-05T06:09:28.818336,
31,29,229,,CONFIRMED,946.28,21.16,11.53,98.81,1035.46,Standard,,2025-03-28T13:31:36.818336,
32,80,167,12,PROCESSING,459.47,27.7,16.3,84.47,532.54,Next Day,,2025-08-13T19:44:47.818336,
33,95,116,,PROCESSING,247.74,45.17,12.53,11.18,226.28,Express,,2026-05-26T11:58:08.818336,
34,79,30,,CONFIRMED,519.78,0.43,0.93,43.62,563.9,Next Day,,2026-04-08T10:29:30.818336,
35,186,64,20,SHIPPED,391.52,0.11,17.9,99.91,509.22,Standard,TRKFF16FD8DAF,2026-06-08T11:52:11.818336,
36,113,45,11,DELIVERED,541.26,13.81,11.43,83.64,622.52,Standard,TRK61ABC7E117,2025-06-13T19:16:44.818336,2026-07-31T20:47:47.818336
37,177,102,,SHIPPED,655.91,46.13,6.75,82.27,698.8,Next Day,TRKA212D2D53F,2025-10-08T20:32:08.818336,
38,194,90,,PROCESSING,310.8,41.43,21.41,41.29,332.07,Standard,,2025-01-11T16:39:12.818336,
39,84,73,,SHIPPED,442.16,11.3,6.32,91.61,528.79,Standard,TRK56593CDF8C,2026-02-07T23:56:23.818336,
40,177,153,,REFUNDED,243.11,30.59,18.19,97.58,328.29,Standard,,2025-09-25T05:00:35.818336,
41,177,186,6,PENDING,940.11,27.02,13.64,78.33,1005.06,Express,,2026-04-06T01:47:33.818336,
42,118,171,,PROCESSING,569.78,29.44,11.41,95.35,647.1,Express,,2025-06-20T11:30:21.818336,
43,171,230,13,REFUNDED,684.81,43.95,20.35,27.6,688.81,Standard,,2025-01-29T06:09:52.818336,
44,133,58,,SHIPPED,156.33,5.05,18.09,16.65,186.02,Express,TRK18EF753246,2025-09-23T08:10:34.818336,
45,144,111,,PROCESSING,480.26,21.33,12.11,23.86,494.9,Standard,,2025-03-07T14:59:36.818336,
