payment_id,order_id,payment_method,gateway_reference,amount,currency,status,processed_at
1,1,Bank Transfer,GW_01124030,344.46,USD,FAILED,2025-05-15T00:34:02.818336
2,2,PayPal,GW_38076c6b,199.82,USD,PENDING,2025-12-15T16:13:49.818336
3,3,Bank Transfer,GW_4cda741b,406.3,USD,REFUNDED,2026-06-28T03:52:20.818336
4,4,Stripe,GW_28ad1ae9,870.22,USD,PENDING,2026-01-23T16:16:49.818336
5,5,Stripe,GW_f76ced86,342.03,USD,REFUNDED,2026-05-10T08:28:45.818336
6,6,Bank Transfer,GW_3a6024e0,806.39,USD,COMPLETED,2026-05-13T23:58:59.818336
7,7,Bank Transfer,GW_95ca223b,265.4,USD,PENDING,2026-02-24T13:17:58.818336
8,8,Stripe,GW_851c833c,711.56,USD,FAILED,2026-03-27T08:37:53.818336
9,9,Stripe,GW_5e5a4900,92.45,USD,REFUNDED,2026-03-26T07:11:10.818336
10,10,Credit Card,GW_ebade00e,463.35,USD,PENDING,2026-02-07T05:35:52.818336
11,11,PayPal,GW_da2c440b,125.46,USD,REFUNDED,2026-01-08T12:13:38.818336
12,12,Bank Transfer,GW_c6ce628c,557.26,USD,COMPLETED,2026-07-02T16:44:06.818336
13,13,Bank Transfer,GW_3594834c,54.2,USD,REFUNDED,2025-12-07T02:24:22.818336
14,14,PayPal,GW_5c8093e7,991.89,USD,FAILED,2025-10-04T06:58:10.818336
15,15,Credit Card,GW_abc1550f,390.53,USD,PENDING,2026-03-28T14:17:14.818336
16,16,PayPal,GW_3b159d33,363.94,USD,REFUNDED,2026-04-09T20:06:46.818336
17,17,Stripe,GW_6dd763df,554.7,USD,REFUNDED,2026-01-07T09:44:44.818336
18,18,Bank Transfer,GW_f7ccdfb2,244.63,USD,REFUNDED,2026-07-14T00:36:38.818336
19,19,Credit Card,GW_e30322dc,768.8,USD,FAILED,2026-09-06T17:24:20.818336
20,20,Bank Transfer,GW_a331b443,840.29,USD,COMPLETED,2026-05-04T19:20:57.818336
21,21,Credit Card,GW_60f87a97,229.15,USD,FAILED,2026-01-02T11:10:10.818336
22,22,Bank Transfer,GW_853e14ed,916.64,USD,PENDING,2025-10-14T05:39:59.818336
23,23,Stripe,GW_92ff9fe2,1024.86,USD,FAILED,2026-05-14T23:25:28.818336
24,24,Bank Transfer,GW_b7c17e11,1013.46,USD,FAILED,2025-02-20T05:35:50.818336
25,25,Stripe,GW_f08fbfe5,481.74,USD,PENDING,2026-04-08T10:28:47.818336
26,26,Bank Transfer,GW_69775f54,235.41,USD,COMPLETED,2025-01-02T23:53:12.818336
27,27,Bank Transfer,GW_7afe9d42,147.99,USD,COMPLETED,2026-09-12T10:06:18.818336
