product_id,category_id,brand_id,name,slug,sku,description,price,sale_price,cost_price,weight_kg,stock_quantity,reorder_threshold,is_active,is_featured,created_at,updated_at
1,15,1,Product 1,product-1,SKU-0001,This is a detailed description for Product 1.,405.77,,219.36,6.129,984,11,FALSE,FALSE,2025-10-29T17:53:11.818336,2026-09-15T21:02:46.818336
2,8,14,Product 2,product-2,SKU-0002,This is a detailed description for Product 2.,985.33,,423.21,6.533,744,13,TRUE,FALSE,2026-07-02T14:11:39.818336,2026-09-15T21:02:46.818336
3,3,10,Product 3,product-3,SKU-0003,This is a detailed description for Product 3.,573.38,,299.63,18.88,3,47,TRUE,FALSE,2026-02-13T02:53:41.818336,2026-09-15T21:02:46.818336
4,13,27,Product 4,product-4,SKU-0004,This is a detailed description for Product 4.,103.84,96.59,64.03,3.53,228,33,FALSE,FALSE,2025-11-27T21:16:36.818336,2026-09-15T21:02:46.818336
5,15,14,Product 5,product-5,SKU-0005,This is a detailed description for Product 5.,748.01,,439.9,9.035,428,38,TRUE,FALSE,2026-09-04T00:32:14.818336,2026-09-15T21:02:46.818336
6,9,23,Product 6,product-6,SKU-0006,This is a detailed description for Product 6.,490.9,,339.61,3.219,95,50,TRUE,TRUE,2025-09-09T17:31:27.818336,2026-09-15T21:02:46.818336
7,17,16,Product 7,product-7,SKU-0007,This is a detailed description for Product 7.,810.55,651.58,329.92,0.342,620,41,FALSE,TRUE,2024-11-05T02:40:01.818336,2026-09-15T21:02:46.818336
8,14,29,Product 8,product-8,SKU-0008,This is a detailed description for Product 8.,832.66,,470.29,4.872,681,13,TRUE,TRUE,2025-05-26T11:02:14.818336,2026-09-15T21:02:46.818336
9,7,28,Product 9,product-9,SKU-0009,This is a detailed description for Product 9.,401.2,,256.1,13.606,167,13,TRUE,FALSE,2025-03-28T14:27:19.818336,2026-09-15T21:02:46.818336
10,4,12,Product 10,product-10,SKU-0010,This is a detailed description for Product 10.,528.2,455.91,212.69,5.584,609,28,FALSE,FALSE,2026-09-06T19:32:16.818336,2026-09-15T21:02:46.818336
11,11,30,Product 11,product-11,SKU-0011,This is a detailed description for Product 11.,286.17,,169.38,4.769,570,34,TRUE,FALSE,2026-07-17T04:58:03.818336,2026-09-15T21:02:46.818336
12,18,30,Product 12,product-12,SKU-0012,This is a detailed description for Product 12.,781.71,,357.82,0.98,165,15,TRUE,FALSE,2025-09-20T00:53:34.818336,2026-09-15T21:02:46.818336
13,8,1,Product 13,product-13,SKU-0013,This is a detailed description for Product 13.,677.87,611.12,324.28,11.253,114,12,TRUE,FALSE,2025-09-29T02:33:01.818336,2026-09-15T21:02:46.818336
