review_id,product_id,customer_id,order_id,rating,title,body,is_verified_purchase,created_at,is_approved
1,130,26,206,4,Review 1,This is a review for product with rating 4.,TRUE,2025-08-14T19:37:13.818336,TRUE
2,105,146,,5,Review 2,This is a review for product with rating 5.,TRUE,2025-09-23T23:11:56.818336,TRUE
3,44,114,19,5,Review 3,This is a review for product with rating 5.,TRUE,2025-09-22T15:46:14.818336,TRUE
4,1,80,,5,Review 4,This is a review for product with rating 5.,TRUE,2025-05-04T19:40:01.818336,TRUE
5,9,99,87,5,Review 5,This is a review for product with rating 5.,TRUE,2025-11-19T14:00:46.818336,TRUE
6,116,162,,5,Review 6,This is a review for product with rating 5.,TRUE,2024-11-02T22:05:55.818336,TRUE
7,129,88,,4,Review 7,This is a review for product with rating 4.,FALSE,2025-02-21T19:31:46.818336,TRUE
8,45,66,,4,Review 8,This is a review for product with rating 4.,TRUE,2025-03-29T08:44:43.818336,TRUE
9,47,162,,5,Review 9,This is a review for product with rating 5.,TRUE,2026-03-13T01:45:10.818336,TRUE
10,115,187,,5,Review 10,This is a review for product with rating 5.,FALSE,2024-10-22T21:37:17.818336,TRUE
11,47,136,35,4,Review 11,This is a review for product with rating 4.,TRUE,2025-08-08T15:30:21.818336,TRUE
12,103,86,,5,Review 12,This is a review for product with rating 5.,TRUE,2024-10-24T21:47:16.818336,TRUE
13,115,147,,5,Review 13,This is a review for product with rating 5.,TRUE,2025-08-30T21:50:28.818336,TRUE
14,31,121,,3,Review 14,This is a review for product with rating 3.,FALSE,2025-06-06T23:16:45.818336,TRUE
15,68,67,35,4,Review 15,This is a review for product with rating 4.,TRUE,2025-09-06T09:48:52.818336,TRUE
16,42,58,178,5,Review 16,This is a review for product with rating 5.,TRUE,2026-07-03T19:42:12.818336,TRUE
17,149,66,,4,Review 17,This is a review for product with rating 4.,TRUE,2024-11-25T13:04:55.818336,TRUE
18,110,98,207,5,Review 18,This is a review for product with rating 5.,TRUE,2025-01-07T07:43:29.818336,TRUE
19,121,87,,5,Review 19,This is a review for product with rating 5.,TRUE,2025-04-16T07:46:39.818336,TRUE
20,148,93,,5,Review 20,This is a review for product with rating 5.,TRUE,2025-05-17T01:09:10.818336,TRUE
21,93,163,280,4,Review 21,This is a review for product with rating 4.,TRUE,2026-08-31T11:14:02.818336,TRUE
22,91,112,,1,Review 22,This is a review for product with rating 1.,TRUE,2025-08-25T16:56:52.818336,TRUE
23,141,29,162,4,Review 23,This is a review for product with rating 4.,TRUE,2025-07-29T20:53:26.818336,TRUE
24,129,103,,5,Review 24,This is a review for product with rating 5.,TRUE,2026-01-03T06:36:08.818336,TRUE
25,19,190,63,5,Review 25,This is a review for product with rating 5.,FALSE,2025-03-06T12:15:40.818336,TRUE
26,92,11,115,5,Review 26,This is a review for product with rating 5.,TRUE,2025-05-31T06:05:17.818336,TRUE
27,16,149,,5,Review 27,This is a review for product with rating 5.,TRUE,2026-01-30T09:04:29.818336,FALSE
28,149,105,,1,Review 28,This is a review for product with rating 1.,TRUE,2026-05-30T12:09:21.818336,TRUE
29,105,108,5,3,Review 29,This is a review for product with rating 3.,TRUE,2025-11-23T14:53:13.818336,TRUE
30,69,58,113,4,Review 30,This is a review for product with rating 4.,FALSE,2026-02-23T21:56:43.818336,FALSE
31,59,139,,5,Review 31,This is a review for product with rating 5.,TRUE,2025-11-05T10:45:40.818336,TRUE
32,146,5,26,5,Review 32,This is a review for product with rating 5.,TRUE,2025-04-04T05:18:09.818336,TRUE
33,92,182,,3,Review 33,This is a review for product with rating 3.,FALSE,2024-12-11T09:05:27.818336,TRUE
34,26,102,271,5,Review 34,This is a review for product with rating 5.,TRUE,2025-08-14T19:45:42.818336,FALSE
35,118,144,,4,Review 35,This is a review for product with rating 4.,FALSE,2026-05-21T21:38:25.818336,TRUE
36,77,6,,5,Review 36,This is a review for product with rating 5.,FALSE,2026-06-17T13:59:21.818336,TRUE
37,51,75,,3,Review 37,This is a review for product with rating 3.,TRUE,2026-09-10T23:51:50.818336,TRUE
38,73,109,13,1,Review 38,This is a review for product with rating 1.,TRUE,2025-08-28T01:57:47.818336,FALSE
39,83,69,,4,Review 39,This is a review for product with rating 4.,TRUE,2026-05-13T00:22:52.818336,TRUE
40,40,163,,5,Review 40,This is a review for product with rating 5.,TRUE,2024-10-26T09:25:35.818336,TRUE
