wishlist_id,customer_id,product_id,added_at
1,12,17,2026-01-30T08:32:19.818336
2,89,86,2024-11-26T16:47:06.818336
3,61,84,2024-11-12T14:16:28.818336
4,180,55,2026-02-27T16:03:01.818336
5,112,13,2025-03-09T05:21:01.818336
6,97,39,2025-12-17T11:19:59.818336
7,149,99,2026-01-25T18:25:16.818336
8,22,44,2025-01-08T15:06:48.818336
9,174,146,2025-01-23T15:42:36.818336
10,165,108,2026-05-24T10:21:45.818336
11,81,141,2026-03-14T06:46:28.818336
12,149,8,2024-11-11T00:33:51.818336
13,155,114,2026-08-23T17:14:47.818336
14,80,38,2026-03-09T09:17:34.818336
15,138,66,2025-08-06T13:25:36.818336
16,110,10,2026-02-17T05:08:55.818336
17,148,36,2024-12-24T09:21:43.818336
18,196,139,2025-01-06T20:30:10.818336
19,49,2,2025-02-10T03:29:03.818336
20,80,36,2025-12-31T06:37:03.818336
21,173,43,2026-07-15T23:56:25.818336
22,142,46,2025-06-23T13:25:56.818336
23,27,107,2025-09-27T09:28:07.818336
24,44,125,2024-12-14T07:15:08.818336
25,182,59,2025-06-19T02:35:15.818336
26,123,107,2025-04-21T19:38:15.818336
27,34,117,2025-02-20T11:15:27.818336
28,139,73,2025-05-11T12:12:39.818336
29,72,110,2026-04-09T02:22:20.818336
30,92,124,2025-03-18T12:06:05.818336
31,102,34,2025-12-18T03:33:19.818336
32,186,108,2026-02-22T06:32:49.818336
33,169,8,2024-10-01T16:36:48.818336
34,147,32,2025-12-07T23:38:21.818336
35,171,49,2024-11-05T11:39:30.818336
36,113,106,2024-12-13T08:00:30.818336
37,95,49,2026-03-05T16:33:26.818336
38,137,46,2026-02-13T10:46:53.818336
39,81,110,2025-05-28T00:34:13.818336
40,6,92,2025-06-09T15:22:25.818336
41,46,41,2025-07-12T05:44:08.818336
42,116,103,2026-05-13T16:08:40.818336
43,86,60,2025-02-23T06:42:13.818336
44,193,42,2024-11-10T23:26:13.818336
45,17,53,2024-10-01T20:52:27.818336
46,185,36,2026-02-12T02:05:37.818336
47,117,42,2025-11-09T07:34:14.818336
48,17,112,2025-12-24T09:25:52.818336
49,105,92,2024-09-27T08:11:48.818336
50,20,98,2025-03-27T06:34:26.818336
51,183,4,2026-04-10T20:01:25.818336
52,38,124,2025-05-03T10:40:05.818336
53,37,80,2024-12-30T06:36:47.818336
54,3,38,2025-07-18T01:55:58.818336
55,101,116,2026-07-25T10:35:19.818336
56,38,85,2025-12-25T10:53:16.818336
57,168,9,2025-07-13T13:26:38.818336
58,132,81,2025-03-02T01:46:54.818336
59,20,121,2024-12-04T12:01:37.818336
60,196,135,2025-12-01T05:04:44.818336
61,117,16,2026-08-22T14:09:02.818336
62,187,79,2025-09-27T09:02:13.818336
63,82,4,2026-03-03T19:26:13.818336
64,193,134,2026-03-03T22:55:52.818336
65,189,133,2024-11-09T23:01:42.818336
66,200,96,2025-12-26T21:43:59.818336
67,146,95,2024-10-28T15:43:04.818336
68,191,70,2025-07-19T15:44:31.818336
69,156,68,2025-08-28T13:06:13.818336
70,156,150,2026-04-08T17:52:28.818336
71,160,18,2025-10-25T09:28:20.818336
72,176,53,2026-06-22T21:12:34.818336
73,94,20,2024-09-18T13:43:22.818336
74,121,48,2025-01-30T22:43:09.818336
75,148,67,2025-03-28T13:58:09.818336
76,173,106,2025-10-06T16:25:24.818336
77,158,90,2025-10-21T02:32:10.818336
78,23,51,2026-02-25T21:32:09.818336
79,173,108,2026-01-14T22:39:13.818336
80,35,89,2025-02-05T23:35:00.818336
81,104,118,2025-07-04T10:36:56.818336
82,147,37,2025-11-26T19:20:27.818336
83,8,28,2025-08-30T10:16:59.818336
84,14,50,2025-11-29T03:10:31.818336
85,15,118,2026-07-04T00:10:46.818336
86,18,129,2025-12-18T08:07:46.818336
87,126,67,2025-06-26T09:17:02.818336
88,192,140,2026-02-03T23:51:31.818336
89,91,104,2025-06-20T01:28:57.818336
90,151,119,2025-09-27T13:14:55.818336
91,104,64,2025-04-09T18:02:49.818336
92,140,2,2026-02-18T00:15:09.818336
93,126,63,2025-02-02T07:15:06.818336
94,32,22,2025-10-01T08:36:05.818336
95,165,26,2025-08-04T22:47:59.818336
96,185,7,2025-02-27T20:19:47.818336
97,150,99,2025-10-24T11:21:47.818336
98,173,39,2026-08-31T03:46:16.818336
99,138,131,2026-04-12T08:35:36.818336
100,166,77,2026-01-08T16:02:37.818336
101,139,38,2024-10-10T07:15:04.818336
102,87,49,2026-05-30T02:18:41.818336
103,157,150,2025-09-13T03:19:19.818336
104,80,100,2025-08-14T06:39:24.818336
105,197,89,2026-05-16T00:20:59.818336
106,172,79,2024-10-26T13:45:25.818336
107,158,11,2026-01-24T16:23:01.818336
108,139,145,2026-05-05T11:13:04.818336
109,118,54,2026-07-04T09:26:36.818336
110,175,64,2025-12-19T05:28:06.818336
111,121,142,2025-12-22T20:38:57.818336
112,129,88,2026-01-03T22:23:43.818336
113,29,26,2025-04-22T00:26:34.818336
114,49,88,2026-07-02T15:40:31.818336
115,168,24,2024-10-07T13:01:18.818336
116,179,66,2025-05-24T04:23:04.818336
117,162,107,2026-05-05T18:42:13.818336
118,200,69,2026-05-08T12:49:35.818336
119,4,98,2026-05-06T02:29:35.818336
120,9,5,2025-06-03T01:22:57.818336
121,165,134,2024-12-26T17:26:51.818336
122,102,93,2024-12-17T12:49:38.818336
123,70,21,2025-05-18T17:20:16.818336
124,55,100,2025-01-15T22:40:11.818336
125,43,119,2026-01-15T22:15:08.818336
126,31,3,2026-05-07T13:16:00.818336
127,188,128,2026-04-05T07:19:33.818336
128,41,144,2025-04-13T16:29:13.818336
129,53,30,2025-07-23T19:07:58.818336
130,45,148,2026-08-24T14:07:48.818336
131,76,66,2025-07-24T06:21:00.818336
132,168,141,2026-07-06T06:08:39.818336
133,38,61,2026-06-15T10:00:53.818336
134,147,59,2025-08-30T12:49:40.818336
135,122,22,2024-12-11T12:04:45.818336
136,197,128,2025-08-29T09:34:55.818336
137,109,61,2025-10-28T07:52:51.818336
138,119,114,2025-12-06T11:50:18.818336
139,160,147,2026-02-11T16:38:15.818336
140,23,141,2025-09-15T23:09:01.818336
141,53,44,2024-12-16T14:45:38.818336
142,111,75,2025-06-27T01:35:48.818336
143,96,66,2026-01-01T06:41:14.818336
144,157,55,2026-04-10T16:40:03.818336
