carrier_id,company_name,carrier_code,contact_name,phone,email,service_tiers,dot_number,mc_number,insurance_expiry,is_active
1,Carrier Logistics 1,CAR-001,Contact 1,555-2001,contact1@carrier.com,"STANDARD,EXPRESS",DOT668208,MC867971,2027-01-01,true
2,Carrier Logistics 2,CAR-002,Contact 2,555-2002,contact2@carrier.com,"STANDARD,EXPRESS",DOT162310,MC225770,2027-10-01,true
3,Carrier Logistics 3,CAR-003,Contact 3,555-2003,contact3@carrier.com,"STANDARD,EXPRESS",DOT124171,MC901381,2027-02-01,true
4,Carrier Logistics 4,CAR-004,Contact 4,555-2004,contact4@carrier.com,"STANDARD,EXPRESS",DOT889158,MC872886,2027-10-01,true
5,Carrier Logistics 5,CAR-005,Contact 5,555-2005,contact5@carrier.com,"STANDARD,EXPRESS",DOT266006,MC835880,2027-02-01,true
6,Carrier Logistics 6,CAR-006,Contact 6,555-2006,contact6@carrier.com,"STANDARD,EXPRESS",DOT920159,MC543700,2027-10-01,true
7,Carrier Logistics 7,CAR-007,Contact 7,555-2007,contact7@carrier.com,"STANDARD,EXPRESS",DOT928680,MC618425,2027-09-01,true
8,Carrier Logistics 8,CAR-008,Contact 8,555-2008,contact8@carrier.com,"STANDARD,EXPRESS",DOT138182,MC853680,2027-02-01,true
9,Carrier Logistics 9,CAR-009,Contact 9,555-2009,contact9@carrier.com,"STANDARD,EXPRESS",DOT309612,MC849970,2027-01-01,true
10,Carrier Logistics 10,CAR-010,Contact 10,555-20010,contact10@carrier.com,"STANDARD,EXPRESS",DOT411079,MC724888,2027-07-01,true
11,Carrier Logistics 11,CAR-011,Contact 11,555-20011,contact11@carrier.com,"STANDARD,EXPRESS",DOT850541,MC922401,2027-03-01,true
12,Carrier Logistics 12,CAR-012,Contact 12,555-20012,contact12@carrier.com,"STANDARD,EXPRESS",DOT127610,MC458555,2027-02-01,true
13,Carrier Logistics 13,CAR-013,Contact 13,555-20013,contact13@carrier.com,"STANDARD,EXPRESS",DOT881574,MC932332,2027-05-01,true
14,Carrier Logistics 14,CAR-014,Contact 14,555-20014,contact14@carrier.com,"STANDARD,EXPRESS",DOT200701,MC487401,2027-11-01,true
15,Carrier Logistics 15,CAR-015,Contact 15,555-20015,contact15@carrier.com,"STANDARD,EXPRESS",DOT484296,MC638412,2027-08-01,true
16,Carrier Logistics 16,CAR-016,Contact 16,555-20016,contact16@carrier.com,"STANDARD,EXPRESS",DOT822141,MC334496,2027-07-01,true
17,Carrier Logistics 17,CAR-017,Contact 17,555-20017,contact17@carrier.com,"STANDARD,EXPRESS",DOT267062,MC672213,2027-01-01,true
18,Carrier Logistics 18,CAR-018,Contact 18,555-20018,contact18@carrier.com,"STANDARD,EXPRESS",DOT322937,MC257321,2027-12-01,true
19,Carrier Logistics 19,CAR-019,Contact 19,555-20019,contact19@carrier.com,"STANDARD,EXPRESS",DOT397170,MC635451,2027-10-01,true
20,Carrier Logistics 20,CAR-020,Contact 20,555-20020,contact20@carrier.com,"STANDARD,EXPRESS",DOT898536,MC737740,2027-11-01,true
