sku,warehouse_id,product_name,category,quantity_on_hand,reserved_quantity,reorder_threshold,unit_weight_kg,unit_volume_cbm,unit_cost,last_restocked_at
SKU-00001,2,Product 1,Industrial,2543,6,100,35.139,1.2746,470.18,2026-08-01 10:00:00
SKU-00002,11,Product 2,Electronics,9633,33,100,30.206,1.9134,551.33,2026-08-01 10:00:00
SKU-00003,14,Product 3,Food,1764,31,100,12.518,1.7157,773.3,2026-08-01 10:00:00
SKU-00004,15,Product 4,Automotive,7697,10,100,39.234,1.842,703.6,2026-08-01 10:00:00
SKU-00005,13,Product 5,Industrial,6658,6,100,18.751,1.9294,958.84,2026-08-01 10:00:00
SKU-00006,12,Product 6,Food,2363,45,100,4.152,0.2359,347.34,2026-08-01 10:00:00
SKU-00007,10,Product 7,Electronics,4387,38,100,25.95,1.7368,38.39,2026-08-01 10:00:00
SKU-00008,8,Product 8,Industrial,3581,9,100,5.628,0.7745,191.24,2026-08-01 10:00:00
SKU-00009,2,Product 9,Industrial,9086,17,100,42.407,0.4518,582.71,2026-08-01 10:00:00
SKU-00010,12,Product 10,Industrial,4059,9,100,27.908,0.82,39.3,2026-08-01 10:00:00
SKU-00011,3,Product 11,Food,6884,38,100,35.284,1.4132,761.68,2026-08-01 10:00:00
SKU-00012,3,Product 12,Medical,5270,32,100,2.139,0.8521,102.8,2026-08-01 10:00:00
SKU-00013,11,Product 13,Food,6325,12,100,9.075,0.3631,161.5,2026-08-01 10:00:00
SKU-00014,15,Product 14,Automotive,3849,20,100,47.424,1.1388,159.97,2026-08-01 10:00:00
SKU-00015,2,Product 15,Food,8635,44,100,24.298,0.742,139.59,2026-08-01 10:00:00
SKU-00016,10,Product 16,Food,5597,27,100,15.129,1.2631,209.28,2026-08-01 10:00:00
SKU-00017,15,Product 17,Medical,5307,47,100,42.471,1.5845,339.3,2026-08-01 10:00:00
SKU-00018,3,Product 18,Automotive,138,41,100,30.099,0.8419,773.26,2026-08-01 10:00:00
SKU-00019,14,Product 19,Electronics,6641,46,100,38.546,1.9805,31.34,2026-08-01 10:00:00
SKU-00020,3,Product 20,Industrial,4498,33,100,7.857,0.7319,875.13,2026-08-01 10:00:00
SKU-00021,8,Product 21,Industrial,872,9,100,3.173,1.6265,958.42,2026-08-01 10:00:00
SKU-00022,14,Product 22,Medical,6703,10,100,3.786,1.5669,286.27,2026-08-01 10:00:00
SKU-00023,14,Product 23,Electronics,6009,17,100,3.476,1.7324,214.17,2026-08-01 10:00:00
SKU-00024,7,Product 24,Food,3582,21,100,6.197,0.3988,619.19,2026-08-01 10:00:00
SKU-00025,12,Product 25,Medical,5471,23,100,27.507,1.0004,878.45,2026-08-01 10:00:00
SKU-00026,12,Product 26,Automotive,3945,36,100,21.739,0.0167,795.54,2026-08-01 10:00:00
SKU-00027,5,Product 27,Food,8494,47,100,12.689,1.2181,872.83,2026-08-01 10:00:00
SKU-00028,12,Product 28,Industrial,4355,21,100,14.313,1.2547,697.11,2026-08-01 10:00:00
SKU-00029,12,Product 29,Industrial,7862,3,100,2.753,0.2361,549.96,2026-08-01 10:00:00
SKU-00030,9,Product 30,Automotive,8995,4,100,34.296,0.7233,421.11,2026-08-01 10:00:00
SKU-00031,8,Product 31,Industrial,2609,0,100,29.901,1.2307,899.41,2026-08-01 10:00:00
SKU-00032,12,Product 32,Food,8854,29,100,21.897,1.2966,977.09,2026-08-01 10:00:00
SKU-00033,11,Product 33,Automotive,1726,44,100,19.368,0.584,280.3,2026-08-01 10:00:00
SKU-00034,15,Product 34,Electronics,6110,7,100,35.732,0.5574,302.12,2026-08-01 10:00:00
SKU-00035,1,Product 35,Automotive,1538,43,100,25.317,1.8904,540.07,2026-08-01 10:00:00
SKU-00036,5,Product 36,Industrial,1149,9,100,41.556,0.7708,16.1,2026-08-01 10:00:00
SKU-00037,14,Product 37,Medical,1452,2,100,35.297,1.0563,204.67,2026-08-01 10:00:00
SKU-00038,3,Product 38,Food,1954,0,100,47.337,1.9324,28.85,2026-08-01 10:00:00
SKU-00039,15,Product 39,Electronics,4784,29,100,5.728,0.2631,976.86,2026-08-01 10:00:00
SKU-00040,5,Product 40,Industrial,4017,28,100,23.758,0.6894,397.73,2026-08-01 10:00:00
SKU-00041,7,Product 41,Industrial,5914,10,100,3.911,0.075,175.52,2026-08-01 10:00:00
SKU-00042,2,Product 42,Industrial,5816,43,100,43.683,1.6948,904.29,2026-08-01 10:00:00
