invoice_id,shipment_id,invoice_number,amount,currency,status,issued_at,due_date,paid_at
1,1,INV-1,238.45,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
2,2,INV-2,3083.8,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
3,3,INV-3,1798.17,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
4,4,INV-4,4428.5,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
5,5,INV-5,536.06,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
6,6,INV-6,3723.43,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
7,7,INV-7,2100.75,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
8,8,INV-8,3570.34,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
9,9,INV-9,2759.29,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
10,10,INV-10,4821.45,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
11,11,INV-11,2262.12,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
12,12,INV-12,2093.21,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
13,13,INV-13,2954.53,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
14,14,INV-14,4216.68,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
15,15,INV-15,3757.8,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
16,16,INV-16,1285.3,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
17,17,INV-17,1955.13,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
18,18,INV-18,2264.59,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
19,19,INV-19,1764.02,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
20,20,INV-20,824.46,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
21,21,INV-21,3641.9,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
22,22,INV-22,3378.71,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
23,23,INV-23,4969.79,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
24,24,INV-24,3257.47,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
25,25,INV-25,4094.7,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
26,26,INV-26,4396.76,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
27,27,INV-27,849.32,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
28,28,INV-28,1552.6,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
29,29,INV-29,556.5,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
30,30,INV-30,980.55,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
31,31,INV-31,523.97,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
32,32,INV-32,4747.29,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
33,33,INV-33,4569.0,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
34,34,INV-34,1246.19,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
35,35,INV-35,2833.74,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
36,36,INV-36,3236.1,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
37,37,INV-37,3286.68,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
38,38,INV-38,3504.81,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
39,39,INV-39,4931.96,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
40,40,INV-40,2113.8,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
41,41,INV-41,137.02,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
42,42,INV-42,343.95,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
43,43,INV-43,3448.18,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
44,44,INV-44,1621.89,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
45,45,INV-45,3803.54,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
46,46,INV-46,3467.86,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
47,47,INV-47,2690.25,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
48,48,INV-48,384.45,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
49,49,INV-49,1978.91,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
50,50,INV-50,4469.58,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
51,51,INV-51,3951.82,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
52,52,INV-52,3873.6,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
53,53,INV-53,1952.37,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
54,54,INV-54,2346.2,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
55,55,INV-55,3754.67,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
56,56,INV-56,1655.93,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
57,57,INV-57,782.37,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
58,58,INV-58,4496.18,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
59,59,INV-59,674.8,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
60,60,INV-60,2726.56,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
61,61,INV-61,4332.19,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
62,62,INV-62,1283.26,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
63,63,INV-63,4322.55,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
64,64,INV-64,3692.0,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
65,65,INV-65,2883.44,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
66,66,INV-66,3446.81,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
67,67,INV-67,4573.31,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
68,68,INV-68,2255.59,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
69,69,INV-69,236.68,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
70,70,INV-70,1873.59,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
71,71,INV-71,3014.23,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
72,72,INV-72,3910.81,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
73,73,INV-73,1623.41,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
74,74,INV-74,2595.21,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
75,75,INV-75,2380.75,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
76,76,INV-76,4467.04,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
77,77,INV-77,3471.08,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
78,78,INV-78,2081.79,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
79,79,INV-79,2699.0,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
80,80,INV-80,130.82,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
81,81,INV-81,2758.41,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
82,82,INV-82,3139.0,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
83,83,INV-83,3617.08,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
84,84,INV-84,4424.91,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
85,85,INV-85,2795.71,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
86,86,INV-86,2461.49,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
87,87,INV-87,4221.34,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
88,88,INV-88,3040.49,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
89,89,INV-89,4189.74,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
90,90,INV-90,208.4,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
91,91,INV-91,2897.02,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
92,92,INV-92,4516.11,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
93,93,INV-93,846.34,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
94,94,INV-94,1054.65,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
95,95,INV-95,1719.26,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
96,96,INV-96,2057.17,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
97,97,INV-97,548.37,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
98,98,INV-98,128.97,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
99,99,INV-99,842.35,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
100,100,INV-100,1372.33,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
101,101,INV-101,1178.05,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
102,102,INV-102,944.57,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
103,103,INV-103,4182.5,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
104,104,INV-104,3838.46,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
105,105,INV-105,2920.0,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
106,106,INV-106,3044.95,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
107,107,INV-107,1078.31,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
108,108,INV-108,1991.0,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
109,109,INV-109,578.96,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
110,110,INV-110,3560.48,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
111,111,INV-111,2976.25,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
112,112,INV-112,2568.45,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
113,113,INV-113,2227.95,USD,DRAFT,2026-08-01 10:00:00,2026-09-01 10:00:00,
114,114,INV-114,3003.07,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
115,115,INV-115,3240.55,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
116,116,INV-116,1569.6,USD,PAID,2026-08-01 10:00:00,2026-09-01 10:00:00,
117,117,INV-117,513.66,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
118,118,INV-118,1331.49,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
119,119,INV-119,1813.41,USD,ISSUED,2026-08-01 10:00:00,2026-09-01 10:00:00,
120,120,INV-120,1962.43,USD,OVERDUE,2026-08-01 10:00:00,2026-09-01 10:00:00,
