route_id,origin_warehouse_id,dest_warehouse_id,carrier_id,transit_days_standard,transit_days_express,distance_km,is_active
1,10,14,10,9,2,2317.36,true
2,6,15,14,7,3,1239.0,true
3,9,6,9,7,3,2344.53,true
4,13,9,16,8,2,2319.58,true
5,8,12,17,9,1,2062.56,true
6,4,6,18,7,2,259.09,true
7,9,5,4,10,3,649.7,true
8,6,3,9,5,2,2396.28,true
9,8,12,14,10,1,1686.21,true
10,12,10,15,6,3,2581.05,true
11,10,15,7,7,2,266.28,true
12,8,2,16,6,2,1617.04,true
13,7,6,1,9,2,106.44,true
14,2,6,11,4,2,860.0,true
15,13,10,15,3,3,2047.45,true
16,4,9,20,7,1,1015.37,true
17,8,6,1,4,3,1351.9,true
18,6,13,1,10,1,1853.01,true
19,11,1,15,5,1,1912.1,true
20,15,4,19,6,1,1686.76,true
21,12,15,10,9,2,1345.94,true
22,12,2,12,4,1,1454.59,true
23,3,9,15,3,1,1583.88,true
24,10,14,9,3,1,607.93,true
25,6,4,4,10,3,1625.1,true
26,8,11,17,3,3,822.08,true
27,8,6,9,5,3,417.18,true
28,6,7,16,6,3,1102.6,true
29,11,10,7,5,3,2714.85,true
30,12,7,10,7,3,103.04,true
31,13,4,1,4,3,334.9,true
32,13,10,14,5,2,374.96,true
33,13,9,13,9,3,2949.25,true
34,5,14,1,6,1,717.57,true
35,2,5,13,7,2,1794.38,true
36,14,11,6,3,2,1943.04,true
37,13,8,11,7,2,2717.43,true
38,1,11,7,5,1,1660.74,true
39,11,2,19,7,3,1618.72,true
40,7,15,20,10,3,436.45,true
41,15,13,6,10,1,2312.85,true
42,12,9,6,9,2,899.4,true
43,7,6,5,3,3,2344.27,true
44,4,9,14,9,3,153.42,true
45,1,7,8,5,2,2766.37,true
46,14,10,11,4,3,2710.09,true
47,6,11,14,9,1,1974.05,true
48,11,15,20,10,1,1342.36,true
49,5,12,3,3,1,1438.64,true
50,5,13,5,9,1,2570.26,true
51,10,6,13,7,2,1056.99,true
52,7,2,18,3,2,1348.68,true
53,11,3,2,4,3,2430.45,true
54,4,1,13,8,2,1702.53,true
55,4,8,4,6,3,336.86,true
56,8,9,4,6,3,2716.18,true
57,6,12,2,10,1,685.82,true
58,5,11,19,10,1,1131.3,true
59,9,13,7,6,1,2204.28,true
60,10,12,10,9,1,2653.56,true
