item_id,shipment_id,sku,quantity,unit_weight_kg,description
1,195,SKU-00110,98,21.179,Desc 1
2,64,SKU-00080,95,29.18,Desc 2
3,4,SKU-00022,5,36.53,Desc 3
4,195,SKU-00148,81,23.566,Desc 4
5,127,SKU-00112,54,20.957,Desc 5
6,93,SKU-00151,51,35.45,Desc 6
7,32,SKU-00008,15,12.929,Desc 7
8,69,SKU-00014,68,23.781,Desc 8
9,23,SKU-00004,56,0.777,Desc 9
10,110,SKU-00052,9,22.354,Desc 10
11,193,SKU-00155,87,46.379,Desc 11
12,92,SKU-00134,79,24.462,Desc 12
13,57,SKU-00108,12,19.678,Desc 13
14,60,SKU-00045,35,31.796,Desc 14
15,180,SKU-00152,39,3.629,Desc 15
16,123,SKU-00181,75,6.772,Desc 16
17,62,SKU-00026,11,18.461,Desc 17
18,174,SKU-00001,37,47.877,Desc 18
19,80,SKU-00086,62,14.406,Desc 19
20,66,SKU-00158,38,41.171,Desc 20
21,100,SKU-00029,100,14.159,Desc 21
22,168,SKU-00084,90,6.141,Desc 22
23,98,SKU-00111,97,32.623,Desc 23
24,130,SKU-00151,60,3.148,Desc 24
25,206,SKU-00180,32,22.784,Desc 25
26,220,SKU-00160,73,33.022,Desc 26
27,219,SKU-00078,4,16.338,Desc 27
28,123,SKU-00114,50,19.504,Desc 28
29,208,SKU-00184,67,21.603,Desc 29
30,245,SKU-00148,80,49.548,Desc 30
31,9,SKU-00045,50,20.619,Desc 31
32,223,SKU-00126,54,49.396,Desc 32
33,78,SKU-00086,54,40.617,Desc 33
34,182,SKU-00095,48,18.024,Desc 34
35,140,SKU-00085,72,5.994,Desc 35
36,163,SKU-00194,37,23.939,Desc 36
37,224,SKU-00158,53,33.519,Desc 37
38,248,SKU-00105,52,41.345,Desc 38
39,138,SKU-00062,95,17.2,Desc 39
40,164,SKU-00185,59,11.157,Desc 40
41,76,SKU-00175,42,5.296,Desc 41
42,43,SKU-00081,61,19.521,Desc 42
43,171,SKU-00087,85,0.719,Desc 43
44,229,SKU-00087,41,19.267,Desc 44
45,216,SKU-00009,7,49.267,Desc 45
46,151,SKU-00020,95,36.949,Desc 46
47,227,SKU-00160,16,49.77,Desc 47
48,44,SKU-00153,66,48.136,Desc 48
49,113,SKU-00087,9,5.118,Desc 49
50,160,SKU-00032,79,24.831,Desc 50
51,27,SKU-00118,31,31.826,Desc 51
52,231,SKU-00020,32,11.36,Desc 52
53,49,SKU-00134,35,41.29,Desc 53
54,195,SKU-00095,4,12.168,Desc 54
55,15,SKU-00160,90,36.933,Desc 55
56,1,SKU-00010,9,14.816,Desc 56
57,106,SKU-00124,37,22.746,Desc 57
58,176,SKU-00114,47,26.358,Desc 58
59,73,SKU-00011,21,26.653,Desc 59
60,223,SKU-00177,74,49.468,Desc 60
61,95,SKU-00107,91,39.869,Desc 61
62,167,SKU-00099,5,44.965,Desc 62
63,87,SKU-00148,37,7.281,Desc 63
64,128,SKU-00159,9,26.542,Desc 64
65,148,SKU-00061,87,3.63,Desc 65
66,41,SKU-00160,49,48.359,Desc 66
67,33,SKU-00145,5,2.323,Desc 67
68,66,SKU-00140,58,15.167,Desc 68
69,168,SKU-00175,80,10.92,Desc 69
70,21,SKU-00166,40,43.566,Desc 70
71,65,SKU-00117,23,27.587,Desc 71
72,242,SKU-00168,19,37.149,Desc 72
73,198,SKU-00090,81,33.349,Desc 73
74,166,SKU-00118,4,35.98,Desc 74
75,85,SKU-00009,76,16.895,Desc 75
76,168,SKU-00046,9,1.559,Desc 76
77,223,SKU-00010,16,8.82,Desc 77
78,234,SKU-00131,63,44.23,Desc 78
79,119,SKU-00067,75,13.066,Desc 79
80,185,SKU-00049,80,28.814,Desc 80
81,16,SKU-00099,92,9.129,Desc 81
82,108,SKU-00115,20,36.101,Desc 82
83,117,SKU-00148,66,44.596,Desc 83
84,153,SKU-00066,82,10.182,Desc 84
85,127,SKU-00143,42,46.322,Desc 85
86,191,SKU-00003,7,40.454,Desc 86
87,135,SKU-00159,47,3.579,Desc 87
88,227,SKU-00157,58,46.158,Desc 88
89,92,SKU-00039,17,26.256,Desc 89
90,60,SKU-00156,12,16.8,Desc 90
91,90,SKU-00086,92,16.485,Desc 91
92,8,SKU-00008,15,48.444,Desc 92
93,171,SKU-00069,84,43.165,Desc 93
94,136,SKU-00036,18,36.296,Desc 94
95,131,SKU-00183,86,28.417,Desc 95
96,175,SKU-00178,9,26.161,Desc 96
97,93,SKU-00122,83,26.763,Desc 97
98,191,SKU-00056,50,40.094,Desc 98
99,42,SKU-00017,58,24.911,Desc 99
100,6,SKU-00095,56,24.499,Desc 100
101,117,SKU-00116,2,32.553,Desc 101
102,157,SKU-00187,10,32.716,Desc 102
103,248,SKU-00174,31,2.812,Desc 103
104,141,SKU-00135,7,28.396,Desc 104
105,124,SKU-00120,8,46.377,Desc 105
106,173,SKU-00066,90,49.377,Desc 106
107,54,SKU-00030,5,12.558,Desc 107
108,55,SKU-00132,88,39.199,Desc 108
109,113,SKU-00124,61,36.213,Desc 109
110,181,SKU-00051,87,12.967,Desc 110
111,180,SKU-00053,78,6.559,Desc 111
112,217,SKU-00028,27,24.164,Desc 112
113,126,SKU-00050,49,3.994,Desc 113
114,64,SKU-00027,59,22.18,Desc 114
115,79,SKU-00030,27,7.081,Desc 115
116,93,SKU-00042,99,14.235,Desc 116
117,117,SKU-00071,31,24.905,Desc 117
118,45,SKU-00078,16,4.949,Desc 118
119,79,SKU-00072,46,21.865,Desc 119
120,183,SKU-00015,28,48.436,Desc 120
121,75,SKU-00054,44,25.471,Desc 121
122,83,SKU-00027,57,17.948,Desc 122
123,103,SKU-00152,7,18.039,Desc 123
124,44,SKU-00158,59,26.618,Desc 124
125,41,SKU-00193,9,16.401,Desc 125
126,38,SKU-00084,64,28.6,Desc 126
127,162,SKU-00008,35,31.207,Desc 127
128,164,SKU-00027,49,14.533,Desc 128
129,140,SKU-00173,9,6.277,Desc 129
130,1,SKU-00119,1,39.683,Desc 130
131,66,SKU-00028,59,49.436,Desc 131
132,114,SKU-00112,81,46.394,Desc 132
133,63,SKU-00017,43,4.946,Desc 133
134,43,SKU-00099,67,4.304,Desc 134
135,34,SKU-00054,14,26.737,Desc 135
136,90,SKU-00186,47,12.052,Desc 136
137,198,SKU-00193,69,16.655,Desc 137
138,138,SKU-00083,54,32.35,Desc 138
139,68,SKU-00019,80,9.784,Desc 139
140,110,SKU-00029,55,21.435,Desc 140
141,158,SKU-00091,94,35.635,Desc 141
142,47,SKU-00197,10,10.049,Desc 142
143,90,SKU-00025,23,21.889,Desc 143
144,95,SKU-00008,5,37.009,Desc 144
145,133,SKU-00172,56,22.856,Desc 145
