shipment_id,shipment_number,origin_warehouse_id,dest_warehouse_id,carrier_id,vehicle_id,status,total_weight_kg,total_volume_cbm,declared_value,currency,is_fragile,is_hazmat,special_instructions,customs_ref,priority,created_at,dispatched_at,estimated_arrival,actual_arrival
1,SHIP-20250219-0001,4,2,5,47,DELIVERED,4678.09,46.48,23404.11,USD,true,false,,,SAME_DAY,2025-02-19 09:00:00,,,
2,SHIP-20250716-0002,1,3,7,47,DELIVERED,2922.29,28.74,18775.4,USD,true,true,,,STANDARD,2025-07-16 09:00:00,,,
3,SHIP-20250409-0003,8,4,19,1,IN_TRANSIT,1117.96,18.5,17765.16,USD,true,false,,,EXPRESS,2025-04-09 08:00:00,,,
4,SHIP-20251006-0004,14,3,11,46,DISPATCHED,4885.35,36.65,45889.36,USD,true,true,,,FREIGHT,2025-10-06 09:00:00,,,
5,SHIP-20250609-0005,13,15,12,23,OUT_FOR_DELIVERY,3883.87,39.92,28427.31,USD,false,true,,,SAME_DAY,2025-06-09 13:00:00,,,
6,SHIP-20250908-0006,8,9,4,5,OUT_FOR_DELIVERY,4896.28,5.79,27529.87,USD,true,false,,,EXPRESS,2025-09-08 12:00:00,,,
7,SHIP-20251013-0007,9,12,5,36,BOOKED,3068.86,2.62,6232.93,USD,true,true,,,SAME_DAY,2025-10-13 11:00:00,,,
8,SHIP-20250421-0008,14,3,3,37,DISPATCHED,448.6,47.5,26164.61,USD,true,true,,,STANDARD,2025-04-21 11:00:00,,,
9,SHIP-20250212-0009,3,13,8,29,BOOKED,4927.41,15.11,23652.53,USD,false,false,,,FREIGHT,2025-02-12 09:00:00,,,
10,SHIP-20250218-0010,15,9,14,41,OUT_FOR_DELIVERY,1871.27,17.68,18266.74,USD,true,true,,,FREIGHT,2025-02-18 10:00:00,,,
11,SHIP-20250609-0011,2,10,19,13,OUT_FOR_DELIVERY,1413.53,33.12,37117.42,USD,false,true,,,STANDARD,2025-06-09 17:00:00,,,
12,SHIP-20250512-0012,11,14,20,25,OUT_FOR_DELIVERY,3690.86,5.07,33003.0,USD,false,false,,,EXPRESS,2025-05-12 16:00:00,,,
13,SHIP-20250112-0013,4,12,16,9,BOOKED,2014.4,27.12,48272.36,USD,true,true,,,SAME_DAY,2025-01-12 08:00:00,,,
14,SHIP-20250728-0014,4,1,10,15,DRAFT,4139.66,16.37,5509.53,USD,false,true,,,STANDARD,2025-07-28 13:00:00,,,
15,SHIP-20250816-0015,15,4,16,28,DRAFT,762.16,37.87,17195.8,USD,true,true,,,SAME_DAY,2025-08-16 13:00:00,,,
16,SHIP-20251104-0016,7,5,14,24,OUT_FOR_DELIVERY,544.33,5.27,20558.12,USD,false,true,,,FREIGHT,2025-11-04 18:00:00,,,
17,SHIP-20250703-0017,13,2,8,18,IN_TRANSIT,100.03,18.2,12694.35,USD,true,true,,,STANDARD,2025-07-03 15:00:00,,,
18,SHIP-20250725-0018,9,6,18,6,DELIVERED,3877.88,45.99,46212.78,USD,true,true,,,FREIGHT,2025-07-25 12:00:00,,,
19,SHIP-20250406-0019,4,13,10,4,DISPATCHED,4528.09,44.52,43298.35,USD,false,true,,,STANDARD,2025-04-06 13:00:00,,,
20,SHIP-20251017-0020,2,7,3,9,OUT_FOR_DELIVERY,1021.56,42.17,36689.74,USD,true,false,,,EXPRESS,2025-10-17 16:00:00,,,
21,SHIP-20250609-0021,7,9,5,29,BOOKED,1566.73,13.58,25833.56,USD,true,false,,,SAME_DAY,2025-06-09 08:00:00,,,
22,SHIP-20250719-0022,12,15,19,20,IN_TRANSIT,4398.35,34.86,3125.08,USD,false,true,,,EXPRESS,2025-07-19 10:00:00,,,
23,SHIP-20250502-0023,7,3,12,22,DELIVERED,3247.21,6.03,43772.81,USD,false,false,,,EXPRESS,2025-05-02 11:00:00,,,
24,SHIP-20250917-0024,3,7,16,42,IN_TRANSIT,1365.06,8.85,18668.91,USD,true,false,,,SAME_DAY,2025-09-17 10:00:00,,,
25,SHIP-20251117-0025,2,10,19,49,IN_TRANSIT,3329.11,27.57,7559.65,USD,false,true,,,SAME_DAY,2025-11-17 15:00:00,,,
26,SHIP-20251022-0026,1,14,12,41,DISPATCHED,3321.86,34.73,6257.51,USD,false,false,,,STANDARD,2025-10-22 12:00:00,,,
27,SHIP-20250620-0027,1,10,18,37,DISPATCHED,2995.75,40.39,24503.2,USD,false,true,,,EXPRESS,2025-06-20 14:00:00,,,
28,SHIP-20250323-0028,2,12,19,32,CANCELLED,552.97,38.76,43554.87,USD,false,false,,,EXPRESS,2025-03-23 08:00:00,,,
29,SHIP-20250320-0029,13,10,9,16,OUT_FOR_DELIVERY,4807.61,8.46,15618.03,USD,true,false,,,STANDARD,2025-03-20 17:00:00,,,
30,SHIP-20250912-0030,14,7,6,20,DISPATCHED,2251.88,16.44,22173.07,USD,false,false,,,FREIGHT,2025-09-12 18:00:00,,,
31,SHIP-20250524-0031,4,1,12,18,FAILED,1895.38,18.22,26525.15,USD,false,false,,,EXPRESS,2025-05-24 09:00:00,,,
32,SHIP-20251202-0032,1,12,5,38,DRAFT,1516.55,42.71,38659.76,USD,false,false,,,SAME_DAY,2025-12-02 08:00:00,,,
33,SHIP-20250613-0033,5,8,8,49,FAILED,1650.05,43.57,1452.77,USD,true,true,,,SAME_DAY,2025-06-13 18:00:00,,,
34,SHIP-20251108-0034,7,6,7,4,DELIVERED,4860.96,16.72,31940.06,USD,false,true,,,SAME_DAY,2025-11-08 12:00:00,,,
35,SHIP-20250518-0035,14,12,19,26,DELIVERED,3197.76,47.76,22083.59,USD,true,true,,,EXPRESS,2025-05-18 17:00:00,,,
36,SHIP-20251026-0036,5,11,5,2,DELIVERED,4712.69,14.27,11567.77,USD,false,true,,,FREIGHT,2025-10-26 12:00:00,,,
37,SHIP-20250501-0037,2,10,4,14,FAILED,3608.67,49.57,6778.9,USD,true,false,,,SAME_DAY,2025-05-01 11:00:00,,,
38,SHIP-20250916-0038,10,8,1,16,OUT_FOR_DELIVERY,2562.14,7.52,41055.53,USD,true,true,,,FREIGHT,2025-09-16 14:00:00,,,
39,SHIP-20251001-0039,12,4,8,5,CANCELLED,1198.67,25.64,36907.63,USD,false,true,,,SAME_DAY,2025-10-01 11:00:00,,,
40,SHIP-20250215-0040,12,1,9,50,DELIVERED,4526.74,31.25,33963.06,USD,true,true,,,SAME_DAY,2025-02-15 11:00:00,,,
41,SHIP-20250311-0041,2,6,15,44,IN_TRANSIT,1258.12,38.18,46945.07,USD,false,false,,,STANDARD,2025-03-11 17:00:00,,,
42,SHIP-20251001-0042,13,9,18,13,DRAFT,1908.66,27.23,28492.59,USD,false,true,,,FREIGHT,2025-10-01 14:00:00,,,
