event_id,shipment_id,event_type,location,latitude,longitude,carrier_scan_code,temperature_c,notes,recorded_at
1,64,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
2,137,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
3,27,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
4,126,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
5,239,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
6,105,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
7,179,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
8,32,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
9,102,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
10,198,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
11,42,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
12,202,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
13,161,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
14,178,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
15,94,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
16,77,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
17,244,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
18,245,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
19,60,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
20,13,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
21,1,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
22,151,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
23,246,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
24,147,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
25,100,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
26,161,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
27,41,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
28,22,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
29,54,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
30,203,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
31,210,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
32,250,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
33,99,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
34,35,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
35,186,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
36,98,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
37,91,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
38,175,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
39,195,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
40,158,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
41,11,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
42,132,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
43,173,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
44,76,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
45,120,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
46,222,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
47,246,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
48,137,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
49,246,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
50,243,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
51,217,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
52,116,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
53,80,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
54,35,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
55,154,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
56,167,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
57,152,EXCEPTION,Location Point,,,,,,2026-08-01 12:00:00
58,6,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
59,141,DEPARTURE_SCAN,Location Point,,,,,,2026-08-01 12:00:00
60,109,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
61,74,DELIVERED,Location Point,,,,,,2026-08-01 12:00:00
62,72,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
63,181,PICKUP_SCAN,Location Point,,,,,,2026-08-01 12:00:00
64,116,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
65,162,DELIVERY_SCAN,Location Point,,,,,,2026-08-01 12:00:00
66,23,TRANSIT_SCAN,Location Point,,,,,,2026-08-01 12:00:00
