vehicle_id,carrier_id,license_plate,vehicle_type,capacity_kg,max_volume_cbm,fuel_type,manufacture_year,last_service_date,current_location,status,is_hazmat_certified
1,5,LP-2933,BOX_TRUCK,19516.33,87.82,GAS,2016,2026-01-11,On Route,IN_TRANSIT,false
2,20,LP-5854,FLATBED,17435.16,86.15,DIESEL,2016,2026-01-06,On Route,AVAILABLE,true
3,11,LP-5503,BOX_TRUCK,1942.25,77.77,GAS,2021,2026-01-12,On Route,IN_TRANSIT,true
4,19,LP-4954,BOX_TRUCK,2707.11,68.16,ELECTRIC,2023,2026-01-05,On Route,IN_TRANSIT,false
5,13,LP-8928,VAN,14585.12,13.04,ELECTRIC,2018,2026-01-24,On Route,AVAILABLE,true
6,4,LP-2285,SEMI,18146.84,22.79,DIESEL,2022,2026-01-11,On Route,IN_TRANSIT,true
7,18,LP-7127,SEMI,16827.37,50.53,ELECTRIC,2023,2026-01-18,On Route,IN_TRANSIT,true
8,4,LP-2371,VAN,13383.34,10.21,ELECTRIC,2019,2026-01-26,On Route,AVAILABLE,true
9,3,LP-9796,BOX_TRUCK,17913.42,36.75,GAS,2018,2026-01-25,On Route,IN_TRANSIT,false
10,19,LP-8996,REFRIGERATED,14011.45,83.43,GAS,2019,2026-01-19,On Route,IN_TRANSIT,true
11,12,LP-8576,AIR_CARGO,17877.58,19.43,GAS,2018,2026-01-14,On Route,MAINTENANCE,true
12,11,LP-3271,BOX_TRUCK,8281.69,85.37,ELECTRIC,2017,2026-01-09,On Route,IN_TRANSIT,true
13,12,LP-7371,VAN,4263.16,99.88,GAS,2019,2026-01-16,On Route,AVAILABLE,false
14,17,LP-7759,FLATBED,8520.03,35.5,ELECTRIC,2017,2026-01-28,On Route,MAINTENANCE,true
15,4,LP-9625,BOX_TRUCK,6836.41,59.05,GAS,2020,2026-01-03,On Route,MAINTENANCE,false
16,4,LP-9370,BOX_TRUCK,1807.46,33.14,ELECTRIC,2015,2026-01-18,On Route,MAINTENANCE,true
17,16,LP-9557,SEMI,12080.33,89.17,ELECTRIC,2015,2026-01-09,On Route,IN_TRANSIT,false
18,5,LP-5191,BOX_TRUCK,17507.42,25.27,ELECTRIC,2015,2026-01-07,On Route,AVAILABLE,true
19,9,LP-6278,FLATBED,18912.47,67.07,DIESEL,2015,2026-01-02,On Route,IN_TRANSIT,false
20,19,LP-8349,BOX_TRUCK,18177.74,49.01,DIESEL,2017,2026-01-08,On Route,IN_TRANSIT,true
21,20,LP-4508,AIR_CARGO,13135.1,80.87,GAS,2016,2026-01-25,On Route,MAINTENANCE,false
22,17,LP-4183,REFRIGERATED,5104.54,57.15,DIESEL,2017,2026-01-02,On Route,AVAILABLE,false
23,3,LP-6695,BOX_TRUCK,8580.78,34.46,ELECTRIC,2015,2026-01-25,On Route,IN_TRANSIT,false
24,8,LP-2204,BOX_TRUCK,19610.19,15.07,GAS,2022,2026-01-06,On Route,IN_TRANSIT,true
25,12,LP-7130,AIR_CARGO,19965.4,52.67,ELECTRIC,2022,2026-01-23,On Route,MAINTENANCE,false
26,5,LP-3093,BOX_TRUCK,13914.95,26.19,ELECTRIC,2022,2026-01-04,On Route,MAINTENANCE,true
27,14,LP-3262,BOX_TRUCK,10249.36,66.39,GAS,2021,2026-01-10,On Route,MAINTENANCE,true
28,14,LP-2698,VAN,10888.18,61.37,GAS,2022,2026-01-02,On Route,IN_TRANSIT,true
29,8,LP-3332,VAN,1624.9,99.28,GAS,2022,2026-01-19,On Route,IN_TRANSIT,true
30,10,LP-2974,FLATBED,8097.51,35.78,DIESEL,2021,2026-01-28,On Route,MAINTENANCE,true
31,15,LP-4023,BOX_TRUCK,10147.95,93.59,GAS,2018,2026-01-04,On Route,AVAILABLE,false
32,15,LP-6087,AIR_CARGO,18930.27,11.21,ELECTRIC,2023,2026-01-13,On Route,IN_TRANSIT,false
33,5,LP-1362,REFRIGERATED,3087.41,72.65,GAS,2017,2026-01-13,On Route,IN_TRANSIT,true
34,17,LP-1967,VAN,12100.6,24.46,GAS,2017,2026-01-08,On Route,MAINTENANCE,true
35,17,LP-2470,FLATBED,3654.98,61.44,ELECTRIC,2020,2026-01-01,On Route,AVAILABLE,true
36,10,LP-8028,SEMI,7887.59,31.14,GAS,2018,2026-01-18,On Route,IN_TRANSIT,false
37,2,LP-2198,SEMI,17346.96,82.61,GAS,2016,2026-01-05,On Route,MAINTENANCE,true
38,16,LP-7058,AIR_CARGO,16925.27,45.5,DIESEL,2018,2026-01-06,On Route,IN_TRANSIT,false
39,9,LP-9430,REFRIGERATED,2821.49,75.24,DIESEL,2021,2026-01-01,On Route,MAINTENANCE,true
40,7,LP-7868,REFRIGERATED,12217.22,78.6,GAS,2017,2026-01-05,On Route,IN_TRANSIT,false
41,20,LP-5742,REFRIGERATED,9109.77,58.12,GAS,2020,2026-01-28,On Route,MAINTENANCE,false
42,16,LP-5898,FLATBED,1904.54,26.06,ELECTRIC,2016,2026-01-09,On Route,AVAILABLE,true
43,3,LP-7719,REFRIGERATED,14834.69,72.92,ELECTRIC,2016,2026-01-10,On Route,AVAILABLE,true
44,19,LP-6078,SEMI,17922.38,52.52,DIESEL,2019,2026-01-05,On Route,MAINTENANCE,true
45,16,LP-5330,FLATBED,12600.81,29.67,DIESEL,2015,2026-01-25,On Route,MAINTENANCE,false
46,10,LP-7248,REFRIGERATED,17556.58,74.0,ELECTRIC,2020,2026-01-13,On Route,AVAILABLE,true
47,6,LP-7251,AIR_CARGO,19875.81,92.28,GAS,2018,2026-01-07,On Route,MAINTENANCE,false
48,17,LP-2039,AIR_CARGO,5429.52,32.36,GAS,2018,2026-01-20,On Route,AVAILABLE,false
49,6,LP-3241,BOX_TRUCK,12145.36,52.82,DIESEL,2023,2026-01-20,On Route,IN_TRANSIT,false
50,20,LP-1032,REFRIGERATED,15888.52,37.11,DIESEL,2020,2026-01-20,On Route,AVAILABLE,false
