session_id,label
,Normal
8785,Normal
8790,Privilege Abuse
8795,Privilege Abuse
8793,Privilege Abuse
8797,Privilege Abuse
8792,Privilege Abuse
8791,Privilege Abuse
8789,Privilege Abuse
8794,Privilege Abuse
8796,Privilege Abuse
8798,Privilege Abuse
8800,Data Exfiltration
8802,Normal
8804,Normal
8806,Normal
8821,Normal
8873,Data Exfiltration
8872,Normal
8882,Normal
8888,Normal
8886,Normal
8890,Normal
8895,Normal
8896,Normal
8897,Normal
8900,Data Exfiltration
8906,Data Exfiltration
8911,Data Exfiltration
8919,Data Exfiltration
8935,Normal
8938,Normal
8941,Data Exfiltration
8949,Data Exfiltration
8962,Privilege Escalation
8964,Normal
8966,Privilege Abuse
8969,Reverse Shell
8976,Sabotage
